# Field minima and maxima
# Time         	field          	min            	location(min)  	max            	location(max)  
37.3949        	U              	(3.89814241e-01 -5.58560005e-01 -5.34681697e-19)	(-9.64179915e-01 -5.39939829e-01 1.23452373e-17)	(1.34021845e+00 3.88753655e-02 9.56481888e-20)	(3.80660725e+00 2.41493035e+00 -2.35572261e-17)
37.4617        	p              	-5.52389829e-01	(4.21899350e+00 -1.03679586e+00 3.40797400e-17)	5.38870295e-01	(-1.03340804e+00 4.06193375e-02 1.52084025e-17)
37.4617        	U              	(3.89782280e-01 -5.58518610e-01 -5.34612903e-19)	(-9.64179915e-01 -5.39939829e-01 1.23452373e-17)	(1.34002649e+00 3.94203852e-02 9.55953184e-20)	(3.80660725e+00 2.41493035e+00 -2.35572261e-17)
37.5285        	p              	-5.52187087e-01	(4.21899350e+00 -1.03679586e+00 3.40797400e-17)	5.38860187e-01	(-1.03340804e+00 4.06193375e-02 1.52084025e-17)
37.5285        	U              	(3.89750291e-01 -5.58477117e-01 -5.34542937e-19)	(-9.64179915e-01 -5.39939829e-01 1.23452373e-17)	(1.33983196e+00 3.99640706e-02 9.55583939e-20)	(3.80660725e+00 2.41493035e+00 -2.35572261e-17)
37.5953        	p              	-5.51978856e-01	(4.21899350e+00 -1.03679586e+00 3.40797400e-17)	5.38865198e-01	(-1.03340804e+00 4.06193375e-02 1.52084025e-17)
37.5953        	U              	(3.89718311e-01 -5.58435592e-01 -5.34474589e-19)	(-9.64179915e-01 -5.39939829e-01 1.23452373e-17)	(1.33963396e+00 4.05081685e-02 9.54893637e-20)	(3.80660725e+00 2.41493035e+00 -2.35572261e-17)
37.6621        	p              	-5.51776361e-01	(4.21899350e+00 -1.03679586e+00 3.40797400e-17)	5.38865134e-01	(-1.03340804e+00 4.06193375e-02 1.52084025e-17)
37.6621        	U              	(3.89686326e-01 -5.58394011e-01 -5.34405509e-19)	(-9.64179915e-01 -5.39939829e-01 1.23452373e-17)	(1.33943228e+00 4.10531790e-02 9.54154993e-20)	(3.80660725e+00 2.41493035e+00 -2.35572261e-17)
37.7289        	p              	-5.51622095e-01	(4.21899350e+00 -1.03679586e+00 3.40797400e-17)	5.38863050e-01	(-1.03340804e+00 4.06193375e-02 1.52084025e-17)
37.7289        	U              	(3.89654323e-01 -5.58352354e-01 -5.34336288e-19)	(-9.64179915e-01 -5.39939829e-01 1.23452373e-17)	(1.33922920e+00 4.15984133e-02 9.53743137e-20)	(3.80660725e+00 2.41493035e+00 -2.35572261e-17)
37.7957        	p              	-5.51399274e-01	(4.21899350e+00 -1.03679586e+00 3.40797400e-17)	5.38856580e-01	(-1.03340804e+00 4.06193375e-02 1.52084025e-17)
37.7957        	U              	(3.89622366e-01 -5.58310735e-01 -5.34268916e-19)	(-9.64179915e-01 -5.39939829e-01 1.23452373e-17)	(1.33902724e+00 4.21428619e-02 9.53589362e-20)	(3.80660725e+00 2.41493035e+00 -2.35572261e-17)
37.8625        	p              	-5.51224441e-01	(4.21899350e+00 -1.03679586e+00 3.40797400e-17)	5.38852526e-01	(-1.03340804e+00 4.06193375e-02 1.52084025e-17)
37.8625        	U              	(3.89590462e-01 -5.58269152e-01 -5.34201089e-19)	(-9.64179915e-01 -5.39939829e-01 1.23452373e-17)	(1.33888415e+00 3.96047819e-02 8.40841867e-20)	(3.80660725e+00 2.62662210e+00 0.00000000e+00)
37.9293        	p              	-5.51004878e-01	(4.21899350e+00 -1.03679586e+00 3.40797400e-17)	5.38849136e-01	(-1.03340804e+00 4.06193375e-02 1.52084025e-17)
37.9293        	U              	(3.89558569e-01 -5.58227540e-01 -5.34132389e-19)	(-9.64179915e-01 -5.39939829e-01 1.23452373e-17)	(1.33878742e+00 4.00956967e-02 8.40603057e-20)	(3.80660725e+00 2.62662210e+00 0.00000000e+00)
37.9961        	p              	-5.50801715e-01	(4.21899350e+00 -1.03679586e+00 3.40797400e-17)	5.38846970e-01	(-1.03340804e+00 4.06193375e-02 1.52084025e-17)
37.9961        	U              	(3.89526652e-01 -5.58185845e-01 -5.34063245e-19)	(-9.64179915e-01 -5.39939829e-01 1.23452373e-17)	(1.33868862e+00 4.05845648e-02 8.40355400e-20)	(3.80660725e+00 2.62662210e+00 0.00000000e+00)
38.0629        	p              	-5.50607013e-01	(4.21899350e+00 -1.03679586e+00 3.40797400e-17)	5.38852260e-01	(-1.03340804e+00 4.06193375e-02 1.52084025e-17)
38.0629        	U              	(3.89494720e-01 -5.58144085e-01 -5.33994647e-19)	(-9.64179915e-01 -5.39939829e-01 1.23452373e-17)	(1.33858717e+00 4.10705664e-02 8.40188548e-20)	(3.80660725e+00 2.62662210e+00 0.00000000e+00)
38.1297        	p              	-5.50459017e-01	(4.21899350e+00 -1.03679586e+00 3.40797400e-17)	5.38832261e-01	(-1.03340804e+00 4.06193375e-02 1.52084025e-17)
38.1297        	U              	(3.89462813e-01 -5.58102316e-01 -5.33926898e-19)	(-9.64179915e-01 -5.39939829e-01 1.23452373e-17)	(1.33848316e+00 4.15536028e-02 8.40051409e-20)	(3.80660725e+00 2.62662210e+00 0.00000000e+00)
38.1965        	p              	-5.50296099e-01	(4.21899350e+00 -1.03679586e+00 3.40797400e-17)	5.38825399e-01	(-1.03340804e+00 4.06193375e-02 1.52084025e-17)
38.1965        	U              	(3.89430937e-01 -5.58060555e-01 -5.33859165e-19)	(-9.64179915e-01 -5.39939829e-01 1.23452373e-17)	(1.33837695e+00 4.20346080e-02 8.39833580e-20)	(3.80660725e+00 2.62662210e+00 0.00000000e+00)
38.2633        	p              	-5.50101762e-01	(4.21899350e+00 -1.03679586e+00 3.40797400e-17)	5.38827974e-01	(-1.03340804e+00 4.06193375e-02 1.52084025e-17)
38.2633        	U              	(3.89399063e-01 -5.58018752e-01 -5.33790657e-19)	(-9.64179915e-01 -5.39939829e-01 1.23452373e-17)	(1.33826887e+00 4.25143207e-02 8.39585945e-20)	(3.80660725e+00 2.62662210e+00 0.00000000e+00)
38.3301        	p              	-5.49926196e-01	(4.21899350e+00 -1.03679586e+00 3.40797400e-17)	5.38793539e-01	(-1.03340804e+00 4.06193375e-02 1.52084025e-17)
38.3301        	U              	(3.89367204e-01 -5.57976906e-01 -5.33722621e-19)	(-9.64179915e-01 -5.39939829e-01 1.23452373e-17)	(1.33815931e+00 4.29927553e-02 8.39383823e-20)	(3.80660725e+00 2.62662210e+00 0.00000000e+00)
38.3969        	p              	-5.49667684e-01	(4.21899350e+00 -1.03679586e+00 3.40797400e-17)	5.38785474e-01	(-1.03340804e+00 4.06193375e-02 1.52084025e-17)
38.3969        	U              	(3.89335317e-01 -5.57934949e-01 -5.33653551e-19)	(-9.64179915e-01 -5.39939829e-01 1.23452373e-17)	(1.33804837e+00 4.34701053e-02 8.39153272e-20)	(3.80660725e+00 2.62662210e+00 0.00000000e+00)
38.4637        	p              	-5.49428414e-01	(4.21899350e+00 -1.03679586e+00 3.40797400e-17)	5.38799935e-01	(-1.03340804e+00 4.06193375e-02 1.52084025e-17)
38.4637        	U              	(3.89303378e-01 -5.57892859e-01 -5.33584433e-19)	(-9.64179915e-01 -5.39939829e-01 1.23452373e-17)	(1.33793599e+00 4.39468447e-02 8.38860280e-20)	(3.80660725e+00 2.62662210e+00 0.00000000e+00)
38.5305        	p              	-5.49280991e-01	(4.21899350e+00 -1.03679586e+00 3.40797400e-17)	5.38787706e-01	(-1.03340804e+00 4.06193375e-02 1.52084025e-17)
38.5305        	U              	(3.89271494e-01 -5.57850815e-01 -5.33518122e-19)	(-9.64179915e-01 -5.39939829e-01 1.23452373e-17)	(1.33782171e+00 4.44240721e-02 8.38412336e-20)	(3.80660725e+00 2.62662210e+00 0.00000000e+00)
38.5972        	p              	-5.49056822e-01	(4.21899350e+00 -1.03679586e+00 3.40797400e-17)	5.38816196e-01	(-1.03340804e+00 4.06193375e-02 1.52084025e-17)
38.5972        	U              	(3.89239644e-01 -5.57808807e-01 -5.33450664e-19)	(-9.64179915e-01 -5.39939829e-01 1.23452373e-17)	(1.33770488e+00 4.49027234e-02 8.37836769e-20)	(3.80660725e+00 2.62662210e+00 0.00000000e+00)
38.664         	p              	-5.48866167e-01	(4.21899350e+00 -1.03679586e+00 3.40797400e-17)	5.38799644e-01	(-1.03340804e+00 4.06193375e-02 1.52084025e-17)
38.664         	U              	(3.89207721e-01 -5.57766619e-01 -5.33380312e-19)	(-9.64179915e-01 -5.39939829e-01 1.23452373e-17)	(1.33758787e+00 4.53768539e-02 8.38201227e-20)	(3.80660725e+00 2.62662210e+00 0.00000000e+00)
38.7308        	p              	-5.48693968e-01	(4.21899350e+00 -1.03679586e+00 3.40797400e-17)	5.38790814e-01	(-1.03340804e+00 4.06193375e-02 1.52084025e-17)
38.7308        	U              	(3.89175770e-01 -5.57724329e-01 -5.33312235e-19)	(-9.64179915e-01 -5.39939829e-01 1.23452373e-17)	(1.33747000e+00 4.58483341e-02 8.38020679e-20)	(3.80660725e+00 2.62662210e+00 0.00000000e+00)
38.7976        	p              	-5.48514495e-01	(4.21899350e+00 -1.03679586e+00 3.40797400e-17)	5.38777177e-01	(-1.03340804e+00 4.06193375e-02 1.52084025e-17)
38.7976        	U              	(3.89143796e-01 -5.57681940e-01 -5.33243754e-19)	(-9.64179915e-01 -5.39939829e-01 1.23452373e-17)	(1.33735146e+00 4.63168641e-02 8.37984678e-20)	(3.80660725e+00 2.62662210e+00 0.00000000e+00)
38.8644        	p              	-5.48362192e-01	(4.21899350e+00 -1.03679586e+00 3.40797400e-17)	5.38768494e-01	(-1.03340804e+00 4.06193375e-02 1.52084025e-17)
38.8644        	U              	(8.17717913e-01 -3.91815197e-01 -5.57960430e-19)	(-3.82506478e-01 -1.03680493e+00 1.23402532e-17)	(1.33723215e+00 4.67827923e-02 8.37886852e-20)	(3.80660725e+00 2.62662210e+00 0.00000000e+00)
38.9312        	p              	-5.48259325e-01	(4.21899350e+00 -1.03679586e+00 3.40797400e-17)	5.38763735e-01	(-1.03340804e+00 4.06193375e-02 1.52084025e-17)
38.9312        	U              	(8.17599134e-01 -3.91767474e-01 -5.57818712e-19)	(-3.82506478e-01 -1.03680493e+00 1.23402532e-17)	(1.33711126e+00 4.72480809e-02 8.37492857e-20)	(3.80660725e+00 2.62662210e+00 0.00000000e+00)
38.998         	p              	-5.48062807e-01	(4.21899350e+00 -1.03679586e+00 3.40797400e-17)	5.38749146e-01	(-1.03340804e+00 4.06193375e-02 1.52084025e-17)
38.998         	U              	(8.17480767e-01 -3.91719900e-01 -5.57677655e-19)	(-3.82506478e-01 -1.03680493e+00 1.23402532e-17)	(1.33698856e+00 4.77127866e-02 8.37143222e-20)	(3.80660725e+00 2.62662210e+00 0.00000000e+00)
39.0648        	p              	-5.47910011e-01	(4.21899350e+00 -1.03679586e+00 3.40797400e-17)	5.38741031e-01	(-1.03340804e+00 4.06193375e-02 1.52084025e-17)
39.0648        	U              	(8.17362787e-01 -3.91672466e-01 -5.57536782e-19)	(-3.82506478e-01 -1.03680493e+00 1.23402532e-17)	(1.33686417e+00 4.81764637e-02 8.36829856e-20)	(3.80660725e+00 2.62662210e+00 0.00000000e+00)
39.1316        	p              	-5.47744331e-01	(4.21899350e+00 -1.03679586e+00 3.40797400e-17)	5.38729512e-01	(-1.03340804e+00 4.06193375e-02 1.52084025e-17)
39.1316        	U              	(8.17245249e-01 -3.91625202e-01 -5.57396724e-19)	(-3.82506478e-01 -1.03680493e+00 1.23402532e-17)	(1.33673812e+00 4.86389016e-02 8.36488426e-20)	(3.80660725e+00 2.62662210e+00 0.00000000e+00)
39.1984        	p              	-5.47608168e-01	(4.21899350e+00 -1.03679586e+00 3.40797400e-17)	5.38724183e-01	(-1.03340804e+00 4.06193375e-02 1.52084025e-17)
39.1984        	U              	(8.17128096e-01 -3.91578071e-01 -5.57257151e-19)	(-3.82506478e-01 -1.03680493e+00 1.23402532e-17)	(1.33661051e+00 4.90999392e-02 8.36129328e-20)	(3.80660725e+00 2.62662210e+00 0.00000000e+00)
39.2652        	p              	-5.47510418e-01	(4.21899350e+00 -1.03679586e+00 3.40797400e-17)	5.38721014e-01	(-1.03340804e+00 4.06193375e-02 1.52084025e-17)
39.2652        	U              	(8.17011345e-01 -3.91531069e-01 -5.57118523e-19)	(-3.82506478e-01 -1.03680493e+00 1.23402532e-17)	(1.33648147e+00 4.95597301e-02 8.35716501e-20)	(3.80660725e+00 2.62662210e+00 0.00000000e+00)
39.332         	p              	-5.47372496e-01	(4.21899350e+00 -1.03679586e+00 3.40797400e-17)	5.38711094e-01	(-1.03340804e+00 4.06193375e-02 1.52084025e-17)
39.332         	U              	(8.16894816e-01 -3.91484117e-01 -5.56979443e-19)	(-3.82506478e-01 -1.03680493e+00 1.23402532e-17)	(1.33635176e+00 5.00166161e-02 8.35525051e-20)	(3.80660725e+00 2.62662210e+00 0.00000000e+00)
39.3988        	p              	-5.47226959e-01	(4.21899350e+00 -1.03679586e+00 3.40797400e-17)	5.38702888e-01	(-1.03340804e+00 4.06193375e-02 1.52084025e-17)
39.3988        	U              	(8.16778427e-01 -3.91437181e-01 -5.56840640e-19)	(-3.82506478e-01 -1.03680493e+00 1.23402532e-17)	(1.33622184e+00 5.04700677e-02 8.35322966e-20)	(3.80660725e+00 2.62662210e+00 0.00000000e+00)
39.4656        	p              	-5.47095874e-01	(4.21899350e+00 -1.03679586e+00 3.40797400e-17)	5.38696135e-01	(-1.03340804e+00 4.06193375e-02 1.52084025e-17)
39.4656        	U              	(8.16662209e-01 -3.91390276e-01 -5.56702358e-19)	(-3.82506478e-01 -1.03680493e+00 1.23402532e-17)	(1.33609181e+00 5.09203186e-02 8.35053297e-20)	(3.80660725e+00 2.62662210e+00 0.00000000e+00)
39.5324        	p              	-5.47056066e-01	(4.46480664e+00 -1.03601258e+00 2.24624834e-17)	5.38692245e-01	(-1.03340804e+00 4.06193375e-02 1.52084025e-17)
39.5324        	U              	(8.16546206e-01 -3.91343424e-01 -5.56564488e-19)	(-3.82506478e-01 -1.03680493e+00 1.23402532e-17)	(1.33596160e+00 5.13678174e-02 8.34721497e-20)	(3.80660725e+00 2.62662210e+00 0.00000000e+00)
39.5992        	p              	-5.47193451e-01	(4.46480664e+00 -1.03601258e+00 2.24624834e-17)	5.38690487e-01	(-1.03340804e+00 4.06193375e-02 1.52084025e-17)
39.5992        	U              	(8.16430396e-01 -3.91296620e-01 -5.56426599e-19)	(-3.82506478e-01 -1.03680493e+00 1.23402532e-17)	(1.33583135e+00 5.18126692e-02 8.34401662e-20)	(3.80660725e+00 2.62662210e+00 0.00000000e+00)
39.666         	p              	-5.47335796e-01	(4.46480664e+00 -1.03601258e+00 2.24624834e-17)	5.38690552e-01	(-1.03340804e+00 4.06193375e-02 1.52084025e-17)
39.666         	U              	(8.16314736e-01 -3.91249851e-01 -5.56288707e-19)	(-3.82506478e-01 -1.03680493e+00 1.23402532e-17)	(1.33570116e+00 5.22549016e-02 8.34090793e-20)	(3.80660725e+00 2.62662210e+00 0.00000000e+00)
39.7328        	p              	-5.47288924e-01	(4.46480664e+00 -1.03601258e+00 2.24624834e-17)	5.38687320e-01	(-1.03340804e+00 4.06193375e-02 1.52084025e-17)
39.7328        	U              	(8.16199301e-01 -3.91203151e-01 -5.56151497e-19)	(-3.82506478e-01 -1.03680493e+00 1.23402532e-17)	(1.33557096e+00 5.26947455e-02 8.33757745e-20)	(3.80660725e+00 2.62662210e+00 0.00000000e+00)
39.7996        	p              	-5.46945621e-01	(4.46480664e+00 -1.03601258e+00 2.24624834e-17)	5.38680139e-01	(-1.03340804e+00 4.06193375e-02 1.52084025e-17)
39.7996        	U              	(8.16084158e-01 -3.91156553e-01 -5.56014703e-19)	(-3.82506478e-01 -1.03680493e+00 1.23402532e-17)	(1.33544061e+00 5.31323133e-02 8.33426559e-20)	(3.80660725e+00 2.62662210e+00 0.00000000e+00)
39.8664        	p              	-5.46547160e-01	(4.46480664e+00 -1.03601258e+00 2.24624834e-17)	5.38667551e-01	(-1.03340804e+00 4.06193375e-02 1.52084025e-17)
39.8664        	U              	(8.15969383e-01 -3.91110087e-01 -5.55878580e-19)	(-3.82506478e-01 -1.03680493e+00 1.23402532e-17)	(1.33530998e+00 5.35677220e-02 8.33098745e-20)	(3.80660725e+00 2.62662210e+00 0.00000000e+00)
39.9332        	p              	-5.46494960e-01	(4.46480664e+00 -1.03601258e+00 2.24624834e-17)	5.38672559e-01	(-1.03340804e+00 4.06193375e-02 1.52084025e-17)
39.9332        	U              	(8.15854836e-01 -3.91063704e-01 -5.55741837e-19)	(-3.82506478e-01 -1.03680493e+00 1.23402532e-17)	(1.33517894e+00 5.40012982e-02 8.32750535e-20)	(3.80660725e+00 2.62662210e+00 0.00000000e+00)
40             	p              	-5.46474056e-01	(4.46480664e+00 -1.03601258e+00 2.24624834e-17)	5.38676319e-01	(-1.03340804e+00 4.06193375e-02 1.52084025e-17)
40             	U              	(8.15740471e-01 -3.91017377e-01 -5.55605468e-19)	(-3.82506478e-01 -1.03680493e+00 1.23402532e-17)	(1.33504733e+00 5.44332349e-02 8.32401284e-20)	(3.80660725e+00 2.62662210e+00 0.00000000e+00)
40.068         	p              	-5.46410962e-01	(4.46480664e+00 -1.03601258e+00 2.24624834e-17)	5.38654903e-01	(-1.03340804e+00 4.06193375e-02 1.52084025e-17)
40.068         	U              	(8.15623177e-01 -3.90976093e-01 -5.60236384e-19)	(-3.82506478e-01 -1.03680493e+00 1.23402532e-17)	(1.33491324e+00 5.48712205e-02 8.42149370e-20)	(3.80660725e+00 2.62662210e+00 0.00000000e+00)
40.1361        	p              	-5.46272374e-01	(4.46480664e+00 -1.03601258e+00 2.24624834e-17)	5.38666738e-01	(-1.03340804e+00 4.06193375e-02 1.52084025e-17)
40.1361        	U              	(8.15505322e-01 -3.90934419e-01 -5.61116226e-19)	(-3.82506478e-01 -1.03680493e+00 1.23402532e-17)	(1.33477941e+00 5.53075321e-02 8.43865694e-20)	(3.80660725e+00 2.62662210e+00 0.00000000e+00)
40.2041        	p              	-5.46165041e-01	(4.46480664e+00 -1.03601258e+00 2.24624834e-17)	5.38667362e-01	(-1.03340804e+00 4.06193375e-02 1.52084025e-17)
40.2041        	U              	(8.15387681e-01 -3.90890223e-01 -5.61022864e-19)	(-3.82506478e-01 -1.03680493e+00 1.23402532e-17)	(1.33464600e+00 5.57420729e-02 8.43599084e-20)	(3.80660725e+00 2.62662210e+00 0.00000000e+00)
40.2721        	p              	-5.46047309e-01	(4.46480664e+00 -1.03601258e+00 2.24624834e-17)	5.38666188e-01	(-1.03340804e+00 4.06193375e-02 1.52084025e-17)
40.2721        	U              	(8.15270555e-01 -3.90844319e-01 -5.60903237e-19)	(-3.82506478e-01 -1.03680493e+00 1.23402532e-17)	(1.33451326e+00 5.61746618e-02 8.43362870e-20)	(3.80660725e+00 2.62662210e+00 0.00000000e+00)
40.3401        	p              	-5.45927568e-01	(4.46480664e+00 -1.03601258e+00 2.24624834e-17)	5.38666471e-01	(-1.03340804e+00 4.06193375e-02 1.52084025e-17)
40.3401        	U              	(8.15153970e-01 -3.90797691e-01 -5.60770697e-19)	(-3.82506478e-01 -1.03680493e+00 1.23402532e-17)	(1.33438134e+00 5.66053792e-02 8.43111212e-20)	(3.80660725e+00 2.62662210e+00 0.00000000e+00)
40.4082        	p              	-5.45821032e-01	(4.46480664e+00 -1.03601258e+00 2.24624834e-17)	5.38671676e-01	(-1.03340804e+00 4.06193375e-02 1.52084025e-17)
40.4082        	U              	(8.15037992e-01 -3.90750927e-01 -5.60633682e-19)	(-3.82506478e-01 -1.03680493e+00 1.23402532e-17)	(1.33424962e+00 5.70357766e-02 8.42618341e-20)	(3.80660725e+00 2.62662210e+00 0.00000000e+00)
40.4762        	p              	-5.45729470e-01	(4.46480664e+00 -1.03601258e+00 2.24624834e-17)	5.38681461e-01	(-1.03340804e+00 -4.06193375e-02 -1.52065714e-17)
40.4762        	U              	(8.14922559e-01 -3.90704229e-01 -5.60495050e-19)	(-3.82506478e-01 -1.03680493e+00 1.23402532e-17)	(1.33411831e+00 5.74655351e-02 8.42230640e-20)	(3.80660725e+00 2.62662210e+00 0.00000000e+00)
40.5442        	p              	-5.45518618e-01	(4.46480664e+00 -1.03601258e+00 2.24624834e-17)	5.38696536e-01	(-1.03340804e+00 -4.06193375e-02 -1.52065714e-17)
40.5442        	U              	(8.14807546e-01 -3.90657608e-01 -5.60356239e-19)	(-3.82506478e-01 -1.03680493e+00 1.23402532e-17)	(1.33398781e+00 5.78940520e-02 8.41906976e-20)	(3.80660725e+00 2.62662210e+00 0.00000000e+00)
40.6122        	p              	-5.45399281e-01	(4.46480664e+00 -1.03601258e+00 2.24624834e-17)	5.38678506e-01	(-1.03340804e+00 -4.06193375e-02 -1.52065714e-17)
40.6122        	U              	(8.14692984e-01 -3.90611080e-01 -5.60218888e-19)	(-3.82506478e-01 -1.03680493e+00 1.23402532e-17)	(1.33385881e+00 5.83201476e-02 8.41725122e-20)	(3.80660725e+00 2.62662210e+00 0.00000000e+00)
40.6803        	p              	-5.45305776e-01	(4.46480664e+00 -1.03601258e+00 2.24624834e-17)	5.38633252e-01	(-1.03340804e+00 -4.06193375e-02 -1.52065714e-17)
40.6803        	U              	(8.14578909e-01 -3.90564656e-01 -5.60082880e-19)	(-3.82506478e-01 -1.03680493e+00 1.23402532e-17)	(1.33387065e+00 6.99820109e-02 1.16986444e-19)	(4.91267890e+00 -2.62662210e+00 0.00000000e+00)
40.7483        	p              	-5.45199318e-01	(4.46480664e+00 -1.03601258e+00 2.24624834e-17)	5.38634967e-01	(-1.03340804e+00 -4.06193375e-02 -1.52065714e-17)
40.7483        	U              	(8.14465128e-01 -3.90518281e-01 -5.59946399e-19)	(-3.82506478e-01 -1.03680493e+00 1.23402532e-17)	(1.33400982e+00 6.94768884e-02 1.17033982e-19)	(4.91267890e+00 -2.62662210e+00 0.00000000e+00)
40.8163        	p              	-5.45078146e-01	(4.46480664e+00 -1.03601258e+00 2.24624834e-17)	5.38636973e-01	(-1.03340804e+00 -4.06193375e-02 -1.52065714e-17)
40.8163        	U              	(3.88176490e-01 -5.56391919e-01 -5.37226448e-19)	(-9.64179915e-01 -5.39939829e-01 1.23452373e-17)	(1.33414879e+00 6.89721962e-02 1.17082928e-19)	(4.91267890e+00 -2.62662210e+00 0.00000000e+00)
40.8844        	p              	-5.44939862e-01	(4.46480664e+00 -1.03601258e+00 2.24624834e-17)	5.38636575e-01	(-1.03340804e+00 -4.06193375e-02 -1.52065714e-17)
40.8844        	U              	(3.88144108e-01 -5.56347603e-01 -5.37157475e-19)	(-9.64179915e-01 -5.39939829e-01 1.23452373e-17)	(1.33428864e+00 6.84676413e-02 1.17130017e-19)	(4.91267890e+00 -2.62662210e+00 0.00000000e+00)
40.9524        	p              	-5.44799278e-01	(4.46480664e+00 -1.03601258e+00 2.24624834e-17)	5.38632025e-01	(-1.03340804e+00 -4.06193375e-02 -1.52065714e-17)
40.9524        	U              	(3.88111784e-01 -5.56303339e-01 -5.37091208e-19)	(-9.64179915e-01 -5.39939829e-01 1.23452373e-17)	(1.33442995e+00 6.79628857e-02 1.17177117e-19)	(4.91267890e+00 -2.62662210e+00 0.00000000e+00)
41.0204        	p              	-5.44609746e-01	(4.46480664e+00 -1.03601258e+00 2.24624834e-17)	5.38631813e-01	(-1.03340804e+00 -4.06193375e-02 -1.52065714e-17)
41.0204        	U              	(3.88079493e-01 -5.56259097e-01 -5.37023663e-19)	(-9.64179915e-01 -5.39939829e-01 1.23452373e-17)	(1.33457357e+00 6.74574441e-02 1.17224465e-19)	(4.91267890e+00 -2.62662210e+00 0.00000000e+00)
41.0884        	p              	-5.44432968e-01	(4.46480664e+00 -1.03601258e+00 2.24624834e-17)	5.38632536e-01	(-1.03340804e+00 -4.06193375e-02 -1.52065714e-17)
41.0884        	U              	(3.88047214e-01 -5.56214837e-01 -5.36955835e-19)	(-9.64179915e-01 -5.39939829e-01 1.23452373e-17)	(1.33471995e+00 6.69509849e-02 1.17279645e-19)	(4.91267890e+00 -2.62662210e+00 0.00000000e+00)
41.1565        	p              	-5.44260812e-01	(4.46480664e+00 -1.03601258e+00 2.24624834e-17)	5.38629448e-01	(-1.03340804e+00 -4.06193375e-02 -1.52065714e-17)
41.1565        	U              	(3.88014989e-01 -5.56170620e-01 -5.36889314e-19)	(-9.64179915e-01 -5.39939829e-01 1.23452373e-17)	(1.33486917e+00 6.64427087e-02 1.17343236e-19)	(4.91267890e+00 -2.62662210e+00 0.00000000e+00)
41.2245        	p              	-5.44039741e-01	(4.46480664e+00 -1.03601258e+00 2.24624834e-17)	5.38624794e-01	(-1.03340804e+00 -4.06193375e-02 -1.52065714e-17)
41.2245        	U              	(3.87982838e-01 -5.56126504e-01 -5.36823315e-19)	(-9.64179915e-01 -5.39939829e-01 1.23452373e-17)	(1.33501085e+00 6.59271546e-02 1.17333130e-19)	(4.91267890e+00 -2.62662210e+00 0.00000000e+00)
41.2925        	p              	-5.43904190e-01	(4.46480664e+00 -1.03601258e+00 2.24624834e-17)	5.38620009e-01	(-1.03340804e+00 -4.06193375e-02 -1.52065714e-17)
41.2925        	U              	(3.87950706e-01 -5.56082364e-01 -5.36755518e-19)	(-9.64179915e-01 -5.39939829e-01 1.23452373e-17)	(1.33514378e+00 6.54143472e-02 1.17496619e-19)	(4.91267890e+00 -2.62662210e+00 0.00000000e+00)
41.3605        	p              	-5.43692955e-01	(4.46480664e+00 -1.03601258e+00 2.24624834e-17)	5.38622804e-01	(-1.03340804e+00 -4.06193375e-02 -1.52065714e-17)
41.3605        	U              	(3.87918555e-01 -5.56038162e-01 -5.36687694e-19)	(-9.64179915e-01 -5.39939829e-01 1.23452373e-17)	(1.33528162e+00 6.48985221e-02 1.17504175e-19)	(4.91267890e+00 -2.62662210e+00 0.00000000e+00)
41.4286        	p              	-5.43495954e-01	(4.46480664e+00 -1.03601258e+00 2.24624834e-17)	5.38621490e-01	(-1.03340804e+00 -4.06193375e-02 -1.52065714e-17)
41.4286        	U              	(3.87886397e-01 -5.55993888e-01 -5.36620178e-19)	(-9.64179915e-01 -5.39939829e-01 1.23452373e-17)	(1.33542896e+00 6.43835914e-02 1.17600649e-19)	(4.91267890e+00 -2.62662210e+00 0.00000000e+00)
41.4966        	p              	-5.43348683e-01	(4.46480664e+00 -1.03601258e+00 2.24624834e-17)	5.38616537e-01	(-1.03340804e+00 -4.06193375e-02 -1.52065714e-17)
41.4966        	U              	(3.87854185e-01 -5.55949449e-01 -5.36551368e-19)	(-9.64179915e-01 -5.39939829e-01 1.23452373e-17)	(1.33559306e+00 6.38700386e-02 1.17667438e-19)	(4.91267890e+00 -2.62662210e+00 0.00000000e+00)
41.5646        	p              	-5.43171158e-01	(4.46480664e+00 -1.03601258e+00 2.24624834e-17)	5.38623385e-01	(-1.03340804e+00 -4.06193375e-02 -1.52065714e-17)
41.5646        	U              	(3.87821989e-01 -5.55904981e-01 -5.36484994e-19)	(-9.64179915e-01 -5.39939829e-01 1.23452373e-17)	(1.33204665e+00 6.41321656e-02 8.36994458e-20)	(3.80660725e+00 2.62662210e+00 0.00000000e+00)
41.6327        	p              	-5.43046130e-01	(4.46480664e+00 -1.03601258e+00 2.24624834e-17)	5.38602715e-01	(-1.03340804e+00 -4.06193375e-02 -1.52065714e-17)
41.6327        	U              	(3.87789866e-01 -5.55860585e-01 -5.36419472e-19)	(-9.64179915e-01 -5.39939829e-01 1.23452373e-17)	(1.33189949e+00 6.45356479e-02 8.36570923e-20)	(3.80660725e+00 2.62662210e+00 0.00000000e+00)
41.7007        	p              	-5.42910131e-01	(4.46480664e+00 -1.03601258e+00 2.24624834e-17)	5.38599556e-01	(-1.03340804e+00 -4.06193375e-02 -1.52065714e-17)
