# Field minima and maxima
# Time         	field          	min            	location(min)  	max            	location(max)  
5.87821941e+00	p              	-7.20569176e-01	(1.90015959e+00 -5.36090753e-01 -2.85314052e-17)	5.63590994e-01	(-1.03340804e+00 4.06193375e-02 1.52084025e-17)
5.87821941e+00	U              	(4.15965059e-01 -5.91937401e-01 -5.66128000e-19)	(-9.64179915e-01 -5.39939829e-01 1.23452373e-17)	(1.37927757e+00 2.24869944e-01 3.90130247e-19)	(1.66357433e-01 1.40459629e+00 -7.82047486e-18)
5.93790711e+00	p              	-7.19623020e-01	(1.90015959e+00 -5.36090753e-01 -2.85314052e-17)	5.63399262e-01	(-1.03340804e+00 4.06193375e-02 1.52084025e-17)
5.93790711e+00	U              	(4.15667598e-01 -5.91562772e-01 -5.65836896e-19)	(-9.64179915e-01 -5.39939829e-01 1.23452373e-17)	(1.37745444e+00 2.25869347e-01 3.87935469e-19)	(1.66357433e-01 1.40459629e+00 -7.82047486e-18)
5.99765174e+00	p              	-7.18128040e-01	(1.90015959e+00 -5.36090753e-01 -2.85314052e-17)	5.63360494e-01	(-1.03340804e+00 4.06193375e-02 1.52084025e-17)
5.99765174e+00	U              	(4.15372032e-01 -5.91190545e-01 -5.65547015e-19)	(-9.64179915e-01 -5.39939829e-01 1.23452373e-17)	(1.37564297e+00 2.26850068e-01 3.85757113e-19)	(1.66357433e-01 1.40459629e+00 -7.82047486e-18)
6.05745389e+00	p              	-7.17855162e-01	(1.90015959e+00 -5.36090753e-01 -2.85314052e-17)	5.62796989e-01	(-1.03340804e+00 4.06193375e-02 1.52084025e-17)
6.05745389e+00	U              	(4.15079912e-01 -5.90822404e-01 -5.65302300e-19)	(-9.64179915e-01 -5.39939829e-01 1.23452373e-17)	(1.37385435e+00 2.27807617e-01 3.83691210e-19)	(1.66357433e-01 1.40459629e+00 -7.82047486e-18)
6.11731388e+00	p              	-7.16823117e-01	(1.90015959e+00 -5.36090753e-01 -2.85314052e-17)	5.62518140e-01	(-1.03340804e+00 4.06193375e-02 1.52084025e-17)
6.11731388e+00	U              	(4.14791106e-01 -5.90458183e-01 -5.65050921e-19)	(-9.64179915e-01 -5.39939829e-01 1.23452373e-17)	(1.37208888e+00 2.28743031e-01 3.81671853e-19)	(1.66357433e-01 1.40459629e+00 -7.82047486e-18)
6.17723194e+00	p              	-7.15657873e-01	(1.90015959e+00 -5.36090753e-01 -2.85314052e-17)	5.62275166e-01	(-1.03340804e+00 4.06193375e-02 1.52084025e-17)
6.17723194e+00	U              	(4.14505119e-01 -5.90097387e-01 -5.64799276e-19)	(-9.64179915e-01 -5.39939829e-01 1.23452373e-17)	(1.37035534e+00 2.29659867e-01 3.79713305e-19)	(1.66357433e-01 1.40459629e+00 -7.82047486e-18)
6.23720845e+00	p              	-7.14373397e-01	(1.90015959e+00 -5.36090753e-01 -2.85314052e-17)	5.62067419e-01	(-1.03340804e+00 4.06193375e-02 1.52084025e-17)
6.23720845e+00	U              	(4.14221628e-01 -5.89739659e-01 -5.64551641e-19)	(-9.64179915e-01 -5.39939829e-01 1.23452373e-17)	(1.36865007e+00 2.30563137e-01 3.77804325e-19)	(1.66357433e-01 1.40459629e+00 -7.82047486e-18)
6.29724385e+00	p              	-7.12989896e-01	(1.90015959e+00 -5.36090753e-01 -2.85314052e-17)	5.61855672e-01	(-1.03340804e+00 4.06193375e-02 1.52084025e-17)
6.29724385e+00	U              	(4.13940482e-01 -5.89384820e-01 -5.64310003e-19)	(-9.64179915e-01 -5.39939829e-01 1.23452373e-17)	(1.36696650e+00 2.31455808e-01 3.75930390e-19)	(1.66357433e-01 1.40459629e+00 -7.82047486e-18)
6.35733836e+00	p              	-7.11999846e-01	(2.00184936e+00 -5.64790422e-01 0.00000000e+00)	5.61628813e-01	(-1.03340804e+00 4.06193375e-02 1.52084025e-17)
6.35733836e+00	U              	(4.09020839e-01 -4.14503211e-01 -4.58792705e-19)	(3.24039638e+00 5.86229998e-01 0.00000000e+00)	(1.36529915e+00 2.32338355e-01 3.74107572e-19)	(1.66357433e-01 1.40459629e+00 -7.82047486e-18)
6.41749212e+00	p              	-7.11361897e-01	(2.00184936e+00 -5.64790422e-01 0.00000000e+00)	5.61408362e-01	(-1.03340804e+00 4.06193375e-02 1.52084025e-17)
6.41749212e+00	U              	(4.01217419e-01 -4.13343998e-01 -4.66758108e-19)	(3.24039638e+00 5.86229998e-01 0.00000000e+00)	(1.36364595e+00 2.33210767e-01 3.72292674e-19)	(1.66357433e-01 1.40459629e+00 -7.82047486e-18)
6.47770516e+00	p              	-7.10666326e-01	(2.00184936e+00 -5.64790422e-01 0.00000000e+00)	5.61192844e-01	(-1.03340804e+00 4.06193375e-02 1.52084025e-17)
6.47770516e+00	U              	(3.93433921e-01 -4.11919347e-01 -4.74275251e-19)	(3.24039638e+00 5.86229998e-01 0.00000000e+00)	(1.36200606e+00 2.34071825e-01 3.70505634e-19)	(1.66357433e-01 1.40459629e+00 -7.82047486e-18)
6.53797742e+00	p              	-7.09846914e-01	(2.00184936e+00 -5.64790422e-01 0.00000000e+00)	5.60995505e-01	(-1.03340804e+00 4.06193375e-02 1.52084025e-17)
6.53797742e+00	U              	(3.85684479e-01 -4.10244998e-01 -4.81094836e-19)	(3.24039638e+00 5.86229998e-01 0.00000000e+00)	(1.36911577e+00 1.76955710e-01 2.31205360e-19)	(1.99508962e+00 -1.57230613e+00 -2.48724281e-17)
6.59830879e+00	p              	-7.08964281e-01	(2.00184936e+00 5.64790422e-01 0.00000000e+00)	5.60819290e-01	(-1.03340804e+00 4.06193375e-02 1.52084025e-17)
6.59830879e+00	U              	(3.78004705e-01 -4.08313410e-01 -4.86781889e-19)	(3.24039638e+00 5.86229998e-01 0.00000000e+00)	(1.36889869e+00 1.73485048e-01 2.28919571e-19)	(1.99508962e+00 -1.57230613e+00 -2.48724281e-17)
6.65869921e+00	p              	-7.08669998e-01	(2.00184936e+00 -5.64790422e-01 0.00000000e+00)	5.60462963e-01	(-1.03340804e+00 4.06193375e-02 1.52084025e-17)
6.65869921e+00	U              	(4.12305173e-01 -5.87318411e-01 -5.62988311e-19)	(-9.64179915e-01 -5.39939829e-01 1.23452373e-17)	(1.36858623e+00 1.70057027e-01 2.26718948e-19)	(1.99508962e+00 -1.57230613e+00 -2.48724281e-17)
6.71914862e+00	p              	-7.07734511e-01	(2.00184936e+00 -5.64790422e-01 0.00000000e+00)	5.60306102e-01	(-1.03340804e+00 4.06193375e-02 1.52084025e-17)
6.71914862e+00	U              	(4.12041067e-01 -5.86984247e-01 -5.62777126e-19)	(-9.64179915e-01 -5.39939829e-01 1.23452373e-17)	(1.36816998e+00 1.66656412e-01 2.24307481e-19)	(1.99508962e+00 -1.57230613e+00 -2.48724281e-17)
6.77965698e+00	p              	-7.07218244e-01	(2.00184936e+00 -5.64790422e-01 0.00000000e+00)	5.60086286e-01	(-1.03340804e+00 4.06193375e-02 1.52084025e-17)
6.77965698e+00	U              	(4.11779351e-01 -5.86653051e-01 -5.62577474e-19)	(-9.64179915e-01 -5.39939829e-01 1.23452373e-17)	(1.36764949e+00 1.63279733e-01 2.21929961e-19)	(1.99508962e+00 -1.57230613e+00 -2.48724281e-17)
6.84022423e+00	p              	-7.05619814e-01	(2.00184936e+00 -5.64790422e-01 0.00000000e+00)	5.59899928e-01	(-1.03340804e+00 4.06193375e-02 1.52084025e-17)
6.84022423e+00	U              	(4.11519911e-01 -5.86324662e-01 -5.62378734e-19)	(-9.64179915e-01 -5.39939829e-01 1.23452373e-17)	(1.36699432e+00 1.59924745e-01 2.20445472e-19)	(1.99508962e+00 -1.57230613e+00 -2.48724281e-17)
6.90085026e+00	p              	-7.04632778e-01	(2.00184936e+00 -5.64790422e-01 0.00000000e+00)	5.59688518e-01	(-1.03340804e+00 4.06193375e-02 1.52084025e-17)
6.90085026e+00	U              	(4.11262814e-01 -5.85999116e-01 -5.62186351e-19)	(-9.64179915e-01 -5.39939829e-01 1.23452373e-17)	(1.36620342e+00 1.56579185e-01 2.18717728e-19)	(1.99508962e+00 -1.57230613e+00 -2.48724281e-17)
6.96153488e+00	p              	-7.03726717e-01	(2.00184936e+00 -5.64790422e-01 0.00000000e+00)	5.59476703e-01	(-1.03340804e+00 4.06193375e-02 1.52084025e-17)
6.96153488e+00	U              	(4.11007803e-01 -5.85676235e-01 -5.61992856e-19)	(-9.64179915e-01 -5.39939829e-01 1.23452373e-17)	(1.36529469e+00 1.53240668e-01 2.16782066e-19)	(1.99508962e+00 -1.57230613e+00 -2.48724281e-17)
7.02227792e+00	p              	-7.02908780e-01	(2.00184936e+00 -5.64790422e-01 0.00000000e+00)	5.59262864e-01	(-1.03340804e+00 4.06193375e-02 1.52084025e-17)
7.02227792e+00	U              	(4.10754902e-01 -5.85356010e-01 -5.61803978e-19)	(-9.64179915e-01 -5.39939829e-01 1.23452373e-17)	(1.36429410e+00 1.49904163e-01 2.14448345e-19)	(1.99508962e+00 -1.57230613e+00 -2.48724281e-17)
7.08307922e+00	p              	-7.01498917e-01	(2.00184936e+00 -5.64790422e-01 0.00000000e+00)	5.59079654e-01	(-1.03340804e+00 4.06193375e-02 1.52084025e-17)
7.08307922e+00	U              	(4.10504119e-01 -5.85038395e-01 -5.61617968e-19)	(-9.64179915e-01 -5.39939829e-01 1.23452373e-17)	(1.36327897e+00 1.46573017e-01 2.12416557e-19)	(1.99508962e+00 -1.57230613e+00 -2.48724281e-17)
7.14393871e+00	p              	-7.00437145e-01	(2.00184936e+00 -5.64790422e-01 0.00000000e+00)	5.58888201e-01	(-1.03340804e+00 4.06193375e-02 1.52084025e-17)
7.14393871e+00	U              	(4.10255450e-01 -5.84723371e-01 -5.61435373e-19)	(-9.64179915e-01 -5.39939829e-01 1.23452373e-17)	(1.36223459e+00 1.43257351e-01 2.10424109e-19)	(1.99508962e+00 -1.57230613e+00 -2.48724281e-17)
7.20485639e+00	p              	-6.99133566e-01	(2.00184936e+00 -5.64790422e-01 0.00000000e+00)	5.58746572e-01	(-1.03340804e+00 4.06193375e-02 1.52084025e-17)
7.20485639e+00	U              	(4.10008721e-01 -5.84410737e-01 -5.61252862e-19)	(-9.64179915e-01 -5.39939829e-01 1.23452373e-17)	(1.36113309e+00 1.39963102e-01 2.08402507e-19)	(1.99508962e+00 -1.57230613e+00 -2.48724281e-17)
7.26583234e+00	p              	-6.98409439e-01	(2.00184936e+00 -5.64790422e-01 0.00000000e+00)	5.58468041e-01	(-1.03340804e+00 4.06193375e-02 1.52084025e-17)
7.26583234e+00	U              	(4.09764228e-01 -5.84100819e-01 -5.61082348e-19)	(-9.64179915e-01 -5.39939829e-01 1.23452373e-17)	(1.35991526e+00 1.36695634e-01 2.06196082e-19)	(1.99508962e+00 -1.57230613e+00 -2.48724281e-17)
7.32686665e+00	p              	-6.96991099e-01	(2.00184936e+00 -5.64790422e-01 0.00000000e+00)	5.58239769e-01	(-1.03340804e+00 4.06193375e-02 1.52084025e-17)
7.32686665e+00	U              	(4.09521701e-01 -5.83793453e-01 -5.60909256e-19)	(-9.64179915e-01 -5.39939829e-01 1.23452373e-17)	(1.35861156e+00 1.33460702e-01 2.04187022e-19)	(1.99508962e+00 -1.57230613e+00 -2.48724281e-17)
7.38795928e+00	p              	-6.95982036e-01	(2.00184936e+00 -5.64790422e-01 0.00000000e+00)	5.58009465e-01	(-1.03340804e+00 4.06193375e-02 1.52084025e-17)
7.38795928e+00	U              	(4.09281459e-01 -5.83488822e-01 -5.60746732e-19)	(-9.64179915e-01 -5.39939829e-01 1.23452373e-17)	(1.34433449e+00 1.86588068e-01 1.25264934e-19)	(2.30449285e+00 -1.81609630e+00 0.00000000e+00)
7.44911017e+00	p              	-6.94728791e-01	(2.00184936e+00 -5.64790422e-01 0.00000000e+00)	5.57875461e-01	(-1.03340804e+00 4.06193375e-02 1.52084025e-17)
7.44911017e+00	U              	(4.09043154e-01 -5.83186553e-01 -5.60579245e-19)	(-9.64179915e-01 -5.39939829e-01 1.23452373e-17)	(1.34603510e+00 1.84141192e-01 1.25017118e-19)	(2.30449285e+00 -1.81609630e+00 0.00000000e+00)
7.51031920e+00	p              	-6.93361974e-01	(2.00184936e+00 -5.64790422e-01 0.00000000e+00)	5.57668490e-01	(-1.03340804e+00 4.06193375e-02 1.52084025e-17)
7.51031920e+00	U              	(4.08806832e-01 -5.82886731e-01 -5.60418492e-19)	(-9.64179915e-01 -5.39939829e-01 1.23452373e-17)	(1.34764575e+00 1.81670252e-01 1.24672179e-19)	(2.30449285e+00 -1.81609630e+00 0.00000000e+00)
7.57158553e+00	p              	-6.92182545e-01	(2.00184936e+00 -5.64790422e-01 0.00000000e+00)	5.57482243e-01	(-1.03340804e+00 4.06193375e-02 1.52084025e-17)
7.57158553e+00	U              	(4.08572428e-01 -5.82589321e-01 -5.60255977e-19)	(-9.64179915e-01 -5.39939829e-01 1.23452373e-17)	(1.23095168e+00 4.08078703e-01 1.96943964e-19)	(-4.07298432e-01 1.44381738e+00 0.00000000e+00)
7.63290830e+00	p              	-6.91012505e-01	(2.00184936e+00 -5.64790422e-01 0.00000000e+00)	5.57287004e-01	(-1.03340804e+00 4.06193375e-02 1.52084025e-17)
7.63290830e+00	U              	(4.08340056e-01 -5.82294376e-01 -5.60094428e-19)	(-9.64179915e-01 -5.39939829e-01 1.23452373e-17)	(1.23012889e+00 4.08312802e-01 1.96626501e-19)	(-4.07298432e-01 1.44381738e+00 0.00000000e+00)
7.69428687e+00	p              	-6.90171435e-01	(2.10731765e+00 5.94556454e-01 0.00000000e+00)	5.57095485e-01	(-1.03340804e+00 4.06193375e-02 1.52084025e-17)
7.69428687e+00	U              	(4.08109679e-01 -5.82001858e-01 -5.59931727e-19)	(-9.64179915e-01 -5.39939829e-01 1.23452373e-17)	(1.22931341e+00 4.08543426e-01 1.96311149e-19)	(-4.07298432e-01 1.44381738e+00 0.00000000e+00)
7.75572081e+00	p              	-6.88980005e-01	(2.10731765e+00 5.94556454e-01 0.00000000e+00)	5.56993116e-01	(-1.03340804e+00 4.06193375e-02 1.52084025e-17)
7.75572081e+00	U              	(4.07880954e-01 -5.81711371e-01 -5.59762995e-19)	(-9.64179915e-01 -5.39939829e-01 1.23452373e-17)	(1.27178074e+00 3.68387421e-01 1.75882216e-19)	(-1.47461943e-01 1.24528550e+00 1.97605702e-17)
7.81720983e+00	p              	-6.87784129e-01	(2.10731765e+00 5.94556454e-01 0.00000000e+00)	5.56858985e-01	(-1.03340804e+00 4.06193375e-02 1.52084025e-17)
7.81720983e+00	U              	(4.07653881e-01 -5.81422910e-01 -5.59598048e-19)	(-9.64179915e-01 -5.39939829e-01 1.23452373e-17)	(1.27226701e+00 3.25943390e-01 2.63462212e-19)	(-1.86683358e-01 1.57596711e+00 2.82577808e-17)
7.87875370e+00	p              	-6.86917668e-01	(2.10731765e+00 5.94556454e-01 0.00000000e+00)	5.56693716e-01	(-1.03340804e+00 4.06193375e-02 1.52084025e-17)
7.87875370e+00	U              	(4.07428566e-01 -5.81136587e-01 -5.59437054e-19)	(-9.64179915e-01 -5.39939829e-01 1.23452373e-17)	(1.27142687e+00 3.26365154e-01 2.62852566e-19)	(-1.86683358e-01 1.57596711e+00 2.82577808e-17)
7.94035220e+00	p              	-6.85997182e-01	(2.10731765e+00 5.94556454e-01 0.00000000e+00)	5.56556272e-01	(-1.03340804e+00 4.06193375e-02 1.52084025e-17)
7.94035220e+00	U              	(4.07204958e-01 -5.80852346e-01 -5.59276226e-19)	(-9.64179915e-01 -5.39939829e-01 1.23452373e-17)	(1.36298070e+00 8.21751302e-02 1.15662219e-19)	(1.15485011e+00 1.72886141e+00 3.45007875e-17)
8.00200505e+00	p              	-6.85397801e-01	(2.10731765e+00 -5.94556454e-01 0.00000000e+00)	5.56280609e-01	(-1.03340804e+00 4.06193375e-02 1.52084025e-17)
8.00200505e+00	U              	(4.06983400e-01 -5.80570589e-01 -5.59125302e-19)	(-9.64179915e-01 -5.39939829e-01 1.23452373e-17)	(1.36232119e+00 8.38783709e-02 1.14675272e-19)	(1.15485011e+00 1.72886141e+00 3.45007875e-17)
8.06369302e+00	p              	-6.84577762e-01	(2.10731765e+00 5.94556454e-01 0.00000000e+00)	5.56104132e-01	(-1.03340804e+00 4.06193375e-02 1.52084025e-17)
8.06369302e+00	U              	(4.06763842e-01 -5.80291228e-01 -5.58883991e-19)	(-9.64179915e-01 -5.39939829e-01 1.23452373e-17)	(1.36163003e+00 8.55536136e-02 1.13708491e-19)	(1.15485011e+00 1.72886141e+00 3.45007875e-17)
8.12541436e+00	p              	-6.83775936e-01	(2.10731765e+00 5.94556454e-01 0.00000000e+00)	5.55919968e-01	(-1.03340804e+00 4.06193375e-02 1.52084025e-17)
8.12541436e+00	U              	(4.06546237e-01 -5.80014220e-01 -5.58621262e-19)	(-9.64179915e-01 -5.39939829e-01 1.23452373e-17)	(1.36091928e+00 8.71983691e-02 1.12784881e-19)	(1.15485011e+00 1.72886141e+00 3.45007875e-17)
8.18716909e+00	p              	-6.82126206e-01	(2.10731765e+00 -5.94556454e-01 0.00000000e+00)	5.55784648e-01	(-1.03340804e+00 4.06193375e-02 1.52084025e-17)
8.18716909e+00	U              	(4.06330345e-01 -5.79739309e-01 -5.58356208e-19)	(-9.64179915e-01 -5.39939829e-01 1.23452373e-17)	(1.36028745e+00 1.54418227e-01 1.18730070e-19)	(2.30449285e+00 -1.81609630e+00 0.00000000e+00)
8.24895727e+00	p              	-6.80780834e-01	(2.10731765e+00 5.94556454e-01 0.00000000e+00)	5.55653960e-01	(-1.03340804e+00 4.06193375e-02 1.52084025e-17)
8.24895727e+00	U              	(-1.26403390e-01 -3.72482498e-01 -2.37829116e-19)	(1.32795509e+00 -4.89939434e-01 0.00000000e+00)	(1.36107884e+00 1.52037527e-01 1.18223421e-19)	(2.30449285e+00 -1.81609630e+00 0.00000000e+00)
8.31077898e+00	p              	-6.79667120e-01	(2.10731765e+00 -5.94556454e-01 0.00000000e+00)	5.55500001e-01	(-1.03340804e+00 4.06193375e-02 1.52084025e-17)
8.31077898e+00	U              	(4.05903364e-01 -5.79195527e-01 -5.57836648e-19)	(-9.64179915e-01 -5.39939829e-01 1.23452373e-17)	(1.36180482e+00 1.49686350e-01 1.17718199e-19)	(2.30449285e+00 -1.81609630e+00 0.00000000e+00)
8.37263427e+00	p              	-6.78473175e-01	(2.10731765e+00 -5.94556454e-01 0.00000000e+00)	5.55329208e-01	(-1.03340804e+00 4.06193375e-02 1.52084025e-17)
8.37263427e+00	U              	(4.05692391e-01 -5.78926777e-01 -5.57586351e-19)	(-9.64179915e-01 -5.39939829e-01 1.23452373e-17)	(1.36258334e+00 1.47358392e-01 1.17321497e-19)	(2.30449285e+00 -1.81609630e+00 0.00000000e+00)
8.43452324e+00	p              	-6.77275076e-01	(2.10731765e+00 -5.94556454e-01 0.00000000e+00)	5.55182785e-01	(-1.03340804e+00 4.06193375e-02 1.52084025e-17)
8.43452324e+00	U              	(4.05483023e-01 -5.78660003e-01 -5.57335532e-19)	(-9.64179915e-01 -5.39939829e-01 1.23452373e-17)	(1.36340115e+00 1.45046581e-01 1.16916092e-19)	(2.30449285e+00 -1.81609630e+00 0.00000000e+00)
8.49644602e+00	p              	-6.75981525e-01	(2.10731765e+00 -5.94556454e-01 0.00000000e+00)	5.55030403e-01	(-1.03340804e+00 4.06193375e-02 1.52084025e-17)
8.49644602e+00	U              	(4.05275453e-01 -5.78395419e-01 -5.57093919e-19)	(-9.64179915e-01 -5.39939829e-01 1.23452373e-17)	(1.36422099e+00 1.42742279e-01 1.16440053e-19)	(2.30449285e+00 -1.81609630e+00 0.00000000e+00)
8.55840278e+00	p              	-6.74908265e-01	(2.10731765e+00 5.94556454e-01 0.00000000e+00)	5.54888525e-01	(-1.03340804e+00 4.06193375e-02 1.52084025e-17)
8.55840278e+00	U              	(4.05069493e-01 -5.78132822e-01 -5.56851564e-19)	(-9.64179915e-01 -5.39939829e-01 1.23452373e-17)	(1.36501461e+00 1.40444199e-01 1.15965806e-19)	(2.30449285e+00 -1.81609630e+00 0.00000000e+00)
8.62039361e+00	p              	-6.73685967e-01	(2.10731765e+00 5.94556454e-01 0.00000000e+00)	5.54755392e-01	(-1.03340804e+00 4.06193375e-02 1.52084025e-17)
8.62039361e+00	U              	(4.04865142e-01 -5.77872212e-01 -5.56614283e-19)	(-9.64179915e-01 -5.39939829e-01 1.23452373e-17)	(1.36577040e+00 1.38149271e-01 1.15448726e-19)	(2.30449285e+00 -1.81609630e+00 0.00000000e+00)
8.68241851e+00	p              	-6.72151342e-01	(2.10731765e+00 5.94556454e-01 0.00000000e+00)	5.54737972e-01	(-1.03340804e+00 4.06193375e-02 1.52084025e-17)
8.68241851e+00	U              	(4.04662058e-01 -5.77613187e-01 -5.56372776e-19)	(-9.64179915e-01 -5.39939829e-01 1.23452373e-17)	(1.36638684e+00 1.35848042e-01 1.14636368e-19)	(2.30449285e+00 -1.81609630e+00 0.00000000e+00)
8.74447750e+00	p              	-6.71310541e-01	(2.10731765e+00 5.94556454e-01 0.00000000e+00)	5.54440370e-01	(-1.03340804e+00 4.06193375e-02 1.52084025e-17)
8.74447750e+00	U              	(4.04460800e-01 -5.77356380e-01 -5.56149103e-19)	(-9.64179915e-01 -5.39939829e-01 1.23452373e-17)	(1.36683116e+00 1.33554010e-01 1.13789608e-19)	(2.30449285e+00 -1.81609630e+00 0.00000000e+00)
8.80657047e+00	p              	-6.70031306e-01	(2.10731765e+00 5.94556454e-01 0.00000000e+00)	5.54311496e-01	(-1.03340804e+00 4.06193375e-02 1.52084025e-17)
8.80657047e+00	U              	(4.04261132e-01 -5.77101553e-01 -5.55918971e-19)	(-9.64179915e-01 -5.39939829e-01 1.23452373e-17)	(1.36717026e+00 1.31275473e-01 1.12938015e-19)	(2.30449285e+00 -1.81609630e+00 0.00000000e+00)
8.86869735e+00	p              	-6.68685743e-01	(2.10731765e+00 5.94556454e-01 0.00000000e+00)	5.54229703e-01	(-1.03340804e+00 4.06193375e-02 1.52084025e-17)
8.86869735e+00	U              	(4.04062822e-01 -5.76848445e-01 -5.55688622e-19)	(-9.64179915e-01 -5.39939829e-01 1.23452373e-17)	(1.36745754e+00 1.29016170e-01 1.12073068e-19)	(2.30449285e+00 -1.81609630e+00 0.00000000e+00)
8.93085807e+00	p              	-6.67476428e-01	(2.10731765e+00 5.94556454e-01 0.00000000e+00)	5.54009953e-01	(-1.03340804e+00 4.06193375e-02 1.52084025e-17)
8.93085807e+00	U              	(4.03866208e-01 -5.76597416e-01 -5.55469449e-19)	(-9.64179915e-01 -5.39939829e-01 1.23452373e-17)	(1.36771174e+00 1.26782104e-01 1.11288500e-19)	(2.30449285e+00 -1.81609630e+00 0.00000000e+00)
8.99305252e+00	p              	-6.66699646e-01	(2.21670479e+00 6.25428510e-01 1.61552609e-17)	5.53755508e-01	(-1.03340804e+00 4.06193375e-02 1.52084025e-17)
8.99305252e+00	U              	(4.03671536e-01 -5.76348768e-01 -5.55256445e-19)	(-9.64179915e-01 -5.39939829e-01 1.23452373e-17)	(1.36794061e+00 1.24574527e-01 1.10506682e-19)	(2.30449285e+00 -1.81609630e+00 0.00000000e+00)
9.05528059e+00	p              	-6.65611179e-01	(2.21670479e+00 6.25428510e-01 1.61552609e-17)	5.53692262e-01	(-1.03340804e+00 4.06193375e-02 1.52084025e-17)
9.05528059e+00	U              	(4.03478293e-01 -5.76101917e-01 -5.55033470e-19)	(-9.64179915e-01 -5.39939829e-01 1.23452373e-17)	(1.36814922e+00 1.22384846e-01 1.09637738e-19)	(2.30449285e+00 -1.81609630e+00 0.00000000e+00)
9.11754218e+00	p              	-6.64684345e-01	(2.21670479e+00 6.25428510e-01 1.61552609e-17)	5.53580134e-01	(-1.03340804e+00 4.06193375e-02 1.52084025e-17)
9.11754218e+00	U              	(4.03286422e-01 -5.75856787e-01 -5.54815700e-19)	(-9.64179915e-01 -5.39939829e-01 1.23452373e-17)	(1.36833566e+00 1.20209899e-01 1.08784116e-19)	(2.30449285e+00 -1.81609630e+00 0.00000000e+00)
9.17983732e+00	p              	-6.63774674e-01	(2.21670479e+00 6.25428510e-01 1.61552609e-17)	5.53461409e-01	(-1.03340804e+00 4.06193375e-02 1.52084025e-17)
9.17983732e+00	U              	(4.03095935e-01 -5.75613385e-01 -5.54601331e-19)	(-9.64179915e-01 -5.39939829e-01 1.23452373e-17)	(1.36849679e+00 1.18047468e-01 1.07926766e-19)	(2.30449285e+00 -1.81609630e+00 0.00000000e+00)
9.24216612e+00	p              	-6.62889860e-01	(2.21670479e+00 6.25428510e-01 1.61552609e-17)	5.53336497e-01	(-1.03340804e+00 4.06193375e-02 1.52084025e-17)
9.24216612e+00	U              	(4.02906838e-01 -5.75371717e-01 -5.54390249e-19)	(-9.64179915e-01 -5.39939829e-01 1.23452373e-17)	(1.36872801e+00 1.15903554e-01 1.07273401e-19)	(2.30449285e+00 -1.81609630e+00 0.00000000e+00)
9.30452869e+00	p              	-6.62074254e-01	(2.21670479e+00 6.25428510e-01 1.61552609e-17)	5.53207974e-01	(-1.03340804e+00 4.06193375e-02 1.52084025e-17)
9.30452869e+00	U              	(4.02719141e-01 -5.75131794e-01 -5.54182858e-19)	(-9.64179915e-01 -5.39939829e-01 1.23452373e-17)	(1.36903615e+00 1.13773502e-01 1.06676643e-19)	(2.30449285e+00 -1.81609630e+00 0.00000000e+00)
9.36692515e+00	p              	-6.60897887e-01	(2.21670479e+00 6.25428510e-01 1.61552609e-17)	5.53096543e-01	(-1.03340804e+00 4.06193375e-02 1.52084025e-17)
9.36692515e+00	U              	(4.02532803e-01 -5.74893564e-01 -5.53977900e-19)	(-9.64179915e-01 -5.39939829e-01 1.23452373e-17)	(1.36938232e+00 1.11646106e-01 1.06081404e-19)	(2.30449285e+00 -1.81609630e+00 0.00000000e+00)
9.42935557e+00	p              	-6.59941371e-01	(2.21670479e+00 6.25428510e-01 1.61552609e-17)	5.52977114e-01	(-1.03340804e+00 4.06193375e-02 1.52084025e-17)
9.42935557e+00	U              	(4.02347806e-01 -5.74656997e-01 -5.53776007e-19)	(-9.64179915e-01 -5.39939829e-01 1.23452373e-17)	(1.36972665e+00 1.09514090e-01 1.05512449e-19)	(2.30449285e+00 -1.81609630e+00 0.00000000e+00)
9.49182002e+00	p              	-6.58884742e-01	(2.21670479e+00 6.25428510e-01 1.61552609e-17)	5.52844933e-01	(-1.03340804e+00 4.06193375e-02 1.52084025e-17)
9.49182002e+00	U              	(4.02164194e-01 -5.74422154e-01 -5.53578344e-19)	(-9.64179915e-01 -5.39939829e-01 1.23452373e-17)	(1.37003798e+00 1.07373671e-01 1.04951318e-19)	(2.30449285e+00 -1.81609630e+00 0.00000000e+00)
9.55431849e+00	p              	-6.58198365e-01	(2.21670479e+00 6.25428510e-01 1.61552609e-17)	5.52743782e-01	(-1.03340804e+00 4.06193375e-02 1.52084025e-17)
9.55431849e+00	U              	(4.01981905e-01 -5.74188970e-01 -5.53381883e-19)	(-9.64179915e-01 -5.39939829e-01 1.23452373e-17)	(1.37030163e+00 1.05226879e-01 1.04363483e-19)	(2.30449285e+00 -1.81609630e+00 0.00000000e+00)
9.61685095e+00	p              	-6.57127192e-01	(2.21670479e+00 6.25428510e-01 1.61552609e-17)	5.52518259e-01	(-1.03340804e+00 4.06193375e-02 1.52084025e-17)
9.61685095e+00	U              	(4.01801128e-01 -5.73957664e-01 -5.53192808e-19)	(-9.64179915e-01 -5.39939829e-01 1.23452373e-17)	(1.37051423e+00 1.03085043e-01 1.03794430e-19)	(2.30449285e+00 -1.81609630e+00 0.00000000e+00)
9.67941731e+00	p              	-6.55778869e-01	(2.21670479e+00 6.25428510e-01 1.61552609e-17)	5.52433860e-01	(-1.03340804e+00 4.06193375e-02 1.52084025e-17)
