# Forces       
# CofR         : (0.00000000e+00 0.00000000e+00 0.00000000e+00)
# Time         forces(pressure viscous porous)	moments(pressure viscous porous)
125.559        	((1.22477321e+00 7.45248041e-01 -3.33275653e-19) (2.28943412e-01 6.74756474e-02 -4.53972327e-19) (0.00000000e+00 0.00000000e+00 0.00000000e+00)) ((-1.30361614e-19 1.94126970e-19 -3.36804986e-08) (-1.55165679e-18 -2.63550737e-19 -6.18971283e-03) (0.00000000e+00 0.00000000e+00 0.00000000e+00))
125.616        	((1.22570116e+00 7.40542041e-01 -3.33305409e-19) (2.29164193e-01 6.83216235e-02 -4.72325922e-19) (0.00000000e+00 0.00000000e+00 0.00000000e+00)) ((-1.29672257e-19 1.94116502e-19 -3.33448088e-08) (-1.55142158e-18 -2.52619424e-19 -5.82647624e-03) (0.00000000e+00 0.00000000e+00 0.00000000e+00))
125.672        	((1.22617277e+00 7.34664463e-01 -3.33524466e-19) (2.29374643e-01 6.90860880e-02 -4.91629719e-19) (0.00000000e+00 0.00000000e+00 0.00000000e+00)) ((-1.28802746e-19 1.94045248e-19 -3.30147313e-08) (-1.54984400e-18 -2.40747307e-19 -5.45801540e-03) (0.00000000e+00 0.00000000e+00 0.00000000e+00))
125.728        	((1.22694969e+00 7.26982245e-01 -3.33539118e-19) (2.29578733e-01 6.97621005e-02 -5.10269751e-19) (0.00000000e+00 0.00000000e+00 0.00000000e+00)) ((-1.27656165e-19 1.94024873e-19 -3.27104409e-08) (-1.54781601e-18 -2.27909756e-19 -5.08188548e-03) (0.00000000e+00 0.00000000e+00 0.00000000e+00))
125.783        	((1.22718315e+00 7.20092125e-01 -3.33675695e-19) (2.29763921e-01 7.03580412e-02 -5.27849991e-19) (0.00000000e+00 0.00000000e+00 0.00000000e+00)) ((-1.26641719e-19 1.93915700e-19 -3.23080571e-08) (-1.54138682e-18 -2.13470742e-19 -4.68296030e-03) (0.00000000e+00 0.00000000e+00 0.00000000e+00))
125.839        	((1.22667809e+00 7.11118705e-01 -3.33608407e-19) (2.29925364e-01 7.08515632e-02 -5.44403945e-19) (0.00000000e+00 0.00000000e+00 0.00000000e+00)) ((-1.25290117e-19 1.93688763e-19 -3.19022799e-08) (-1.53425960e-18 -1.98425242e-19 -4.27731086e-03) (0.00000000e+00 0.00000000e+00 0.00000000e+00))
125.895        	((1.22637911e+00 7.02115641e-01 -3.33529159e-19) (2.30063588e-01 7.12319763e-02 -5.53347589e-19) (0.00000000e+00 0.00000000e+00 0.00000000e+00)) ((-1.23923809e-19 1.93492286e-19 -3.14945797e-08) (-1.52546618e-18 -1.89437202e-19 -3.87649538e-03) (0.00000000e+00 0.00000000e+00 0.00000000e+00))
125.951        	((1.22539926e+00 6.92086035e-01 -3.33272891e-19) (2.30177905e-01 7.15069288e-02 -5.58794641e-19) (0.00000000e+00 0.00000000e+00 0.00000000e+00)) ((-1.22397310e-19 1.93188050e-19 -3.10478131e-08) (-1.51561250e-18 -1.82339677e-19 -3.47388732e-03) (0.00000000e+00 0.00000000e+00 0.00000000e+00))
126.007        	((1.22474714e+00 6.81494377e-01 -3.33215154e-19) (2.30271827e-01 7.16781109e-02 -5.61941472e-19) (0.00000000e+00 0.00000000e+00 0.00000000e+00)) ((-1.20789876e-19 1.92936427e-19 -3.06232785e-08) (-1.50472366e-18 -1.76121508e-19 -3.07160343e-03) (0.00000000e+00 0.00000000e+00 0.00000000e+00))
126.063        	((1.22364546e+00 6.70510510e-01 -3.33142480e-19) (2.30346323e-01 7.17637302e-02 -5.62843677e-19) (0.00000000e+00 0.00000000e+00 0.00000000e+00)) ((-1.19108975e-19 1.92613884e-19 -3.01655839e-08) (-1.49265745e-18 -1.70672620e-19 -2.66125018e-03) (0.00000000e+00 0.00000000e+00 0.00000000e+00))
126.118        	((1.22219876e+00 6.57786462e-01 -3.32745280e-19) (2.30404126e-01 7.17568399e-02 -5.58633682e-19) (0.00000000e+00 0.00000000e+00 0.00000000e+00)) ((-1.17164293e-19 1.92260655e-19 -2.97705858e-08) (-1.47631522e-18 -1.66213706e-19 -2.24439207e-03) (0.00000000e+00 0.00000000e+00 0.00000000e+00))
126.174        	((1.22019639e+00 6.45128708e-01 -3.32454549e-19) (2.30446274e-01 7.16619258e-02 -5.44611050e-19) (0.00000000e+00 0.00000000e+00 0.00000000e+00)) ((-1.15226491e-19 1.91824556e-19 -2.93426545e-08) (-1.45108187e-18 -1.63563053e-19 -1.82574851e-03) (0.00000000e+00 0.00000000e+00 0.00000000e+00))
126.23         	((1.21840141e+00 6.31614922e-01 -3.32293225e-19) (2.30469331e-01 7.14757166e-02 -5.33702855e-19) (0.00000000e+00 0.00000000e+00 0.00000000e+00)) ((-1.13157920e-19 1.91428367e-19 -2.89095276e-08) (-1.42914654e-18 -1.58919918e-19 -1.41097451e-03) (0.00000000e+00 0.00000000e+00 0.00000000e+00))
126.286        	((1.21636469e+00 6.17446822e-01 -3.31575644e-19) (2.30472868e-01 7.12209138e-02 -5.20456550e-19) (0.00000000e+00 0.00000000e+00 0.00000000e+00)) ((-1.10986882e-19 1.91006087e-19 -2.85150436e-08) (-1.40876329e-18 -1.55684170e-19 -9.96085315e-04) (0.00000000e+00 0.00000000e+00 0.00000000e+00))
126.341        	((1.21405818e+00 6.01568798e-01 -3.31430604e-19) (2.30456199e-01 7.09045064e-02 -5.03890244e-19) (0.00000000e+00 0.00000000e+00 0.00000000e+00)) ((-1.08539148e-19 1.90541283e-19 -2.81747044e-08) (-1.39065672e-18 -1.53763862e-19 -5.80308824e-04) (0.00000000e+00 0.00000000e+00 0.00000000e+00))
126.397        	((1.21180293e+00 5.86494667e-01 -3.30978565e-19) (2.30413132e-01 7.05341474e-02 -4.87851129e-19) (0.00000000e+00 0.00000000e+00 0.00000000e+00)) ((-1.06215774e-19 1.90089924e-19 -2.79562040e-08) (-1.37490658e-18 -1.49079083e-19 -1.62416569e-04) (0.00000000e+00 0.00000000e+00 0.00000000e+00))
126.453        	((1.20888389e+00 5.70015999e-01 -3.30450473e-19) (2.30352374e-01 7.00947807e-02 -4.74900455e-19) (0.00000000e+00 0.00000000e+00 0.00000000e+00)) ((-1.03669718e-19 1.89536034e-19 -2.76731520e-08) (-1.35830601e-18 -1.41329930e-19 2.52972655e-04) (0.00000000e+00 0.00000000e+00 0.00000000e+00))
126.509        	((1.20631814e+00 5.52965174e-01 -3.30102478e-19) (2.30277253e-01 6.95829280e-02 -4.63824981e-19) (0.00000000e+00 0.00000000e+00 0.00000000e+00)) ((-1.01041107e-19 1.89049198e-19 -2.74786905e-08) (-1.34195848e-18 -1.31178922e-19 6.61859754e-04) (0.00000000e+00 0.00000000e+00 0.00000000e+00))
126.564        	((1.20341479e+00 5.35572371e-01 -3.29316440e-19) (2.30186839e-01 6.89960752e-02 -4.51707980e-19) (0.00000000e+00 0.00000000e+00 0.00000000e+00)) ((-9.83585007e-20 1.88528380e-19 -2.73753230e-08) (-1.32781105e-18 -1.20268198e-19 1.06058489e-03) (0.00000000e+00 0.00000000e+00 0.00000000e+00))
126.62         	((1.20008452e+00 5.18335166e-01 -3.29384210e-19) (2.30083407e-01 6.83524198e-02 -4.39801671e-19) (0.00000000e+00 0.00000000e+00 0.00000000e+00)) ((-9.56960563e-20 1.87949442e-19 -2.73202249e-08) (-1.31417565e-18 -1.08287240e-19 1.45953228e-03) (0.00000000e+00 0.00000000e+00 0.00000000e+00))
126.676        	((1.19661794e+00 4.99545955e-01 -3.28817612e-19) (2.29963953e-01 6.76271971e-02 -4.24568896e-19) (0.00000000e+00 0.00000000e+00 0.00000000e+00)) ((-9.27930193e-20 1.87357212e-19 -2.72871036e-08) (-1.30195638e-18 -1.00013488e-19 1.84318865e-03) (0.00000000e+00 0.00000000e+00 0.00000000e+00))
126.732        	((1.19338442e+00 4.79927523e-01 -3.28443422e-19) (2.29813919e-01 6.68133481e-02 -4.17252589e-19) (0.00000000e+00 0.00000000e+00 0.00000000e+00)) ((-8.97545092e-20 1.86803351e-19 -2.72428779e-08) (-1.29695328e-18 -9.56721447e-20 2.22124883e-03) (0.00000000e+00 0.00000000e+00 0.00000000e+00))
126.787        	((1.18979215e+00 4.60393502e-01 -3.27871124e-19) (2.29645836e-01 6.59180637e-02 -4.11109376e-19) (0.00000000e+00 0.00000000e+00 0.00000000e+00)) ((-8.67311071e-20 1.86206278e-19 -2.72522619e-08) (-1.29198194e-18 -9.08019984e-20 2.58952649e-03) (0.00000000e+00 0.00000000e+00 0.00000000e+00))
126.843        	((1.18625251e+00 4.40211598e-01 -3.27473925e-19) (2.29467207e-01 6.49450939e-02 -4.05089814e-19) (0.00000000e+00 0.00000000e+00 0.00000000e+00)) ((-8.36058403e-20 1.85628149e-19 -2.72493873e-08) (-1.28562487e-18 -8.51304931e-20 2.95362343e-03) (0.00000000e+00 0.00000000e+00 0.00000000e+00))
126.899        	((1.18202078e+00 4.19423531e-01 -3.27041824e-19) (2.29260646e-01 6.38821184e-02 -3.98864976e-19) (0.00000000e+00 0.00000000e+00 0.00000000e+00)) ((-8.03780238e-20 1.84955725e-19 -2.73060194e-08) (-1.28560222e-18 -7.80491933e-20 3.29452826e-03) (0.00000000e+00 0.00000000e+00 0.00000000e+00))
126.955        	((1.17823798e+00 3.98323255e-01 -3.26416520e-19) (2.29035957e-01 6.27553690e-02 -3.93419461e-19) (0.00000000e+00 0.00000000e+00 0.00000000e+00)) ((-7.70893514e-20 1.84377273e-19 -2.73420150e-08) (-1.28899350e-18 -7.04807696e-20 3.64577176e-03) (0.00000000e+00 0.00000000e+00 0.00000000e+00))
127.011        	((1.17420576e+00 3.76000922e-01 -3.25747060e-19) (2.28805968e-01 6.15594697e-02 -3.87175239e-19) (0.00000000e+00 0.00000000e+00 0.00000000e+00)) ((-7.36157099e-20 1.83754831e-19 -2.73901352e-08) (-1.29035590e-18 -6.27227350e-20 4.00544402e-03) (0.00000000e+00 0.00000000e+00 0.00000000e+00))
127.067        	((1.17032178e+00 3.54258348e-01 -3.25328916e-19) (2.28565649e-01 6.02963440e-02 -3.84763816e-19) (0.00000000e+00 0.00000000e+00 0.00000000e+00)) ((-7.02181119e-20 1.83178007e-19 -2.73827063e-08) (-1.28727919e-18 -5.40261918e-20 4.36290173e-03) (0.00000000e+00 0.00000000e+00 0.00000000e+00))
127.123        	((1.16632073e+00 3.32090236e-01 -3.24719033e-19) (2.28320900e-01 5.89645108e-02 -3.80610675e-19) (0.00000000e+00 0.00000000e+00 0.00000000e+00)) ((-6.67572842e-20 1.82583391e-19 -2.74481737e-08) (-1.28534186e-18 -4.53508510e-20 4.71537103e-03) (0.00000000e+00 0.00000000e+00 0.00000000e+00))
127.179        	((1.16217818e+00 3.08040541e-01 -3.23945316e-19) (2.28066731e-01 5.75552390e-02 -3.76296931e-19) (0.00000000e+00 0.00000000e+00 0.00000000e+00)) ((-6.30025038e-20 1.81981138e-19 -2.74448612e-08) (-1.28345534e-18 -3.59697537e-20 5.06630699e-03) (0.00000000e+00 0.00000000e+00 0.00000000e+00))
127.235        	((1.15812611e+00 2.83871871e-01 -3.23391732e-19) (2.27795298e-01 5.60729888e-02 -3.70911330e-19) (0.00000000e+00 0.00000000e+00 0.00000000e+00)) ((-5.92148083e-20 1.81414707e-19 -2.74274407e-08) (-1.28189315e-18 -2.66326670e-20 5.40969697e-03) (0.00000000e+00 0.00000000e+00 0.00000000e+00))
127.292        	((1.15392348e+00 2.60448211e-01 -3.22884653e-19) (2.27501329e-01 5.45190979e-02 -3.60491925e-19) (0.00000000e+00 0.00000000e+00 0.00000000e+00)) ((-5.55284328e-20 1.80844508e-19 -2.74473015e-08) (-1.28380704e-18 -1.98703267e-20 5.73560973e-03) (0.00000000e+00 0.00000000e+00 0.00000000e+00))
127.348        	((1.14998791e+00 2.35189499e-01 -3.22421055e-19) (2.27179898e-01 5.28769800e-02 -3.49895752e-19) (0.00000000e+00 0.00000000e+00 0.00000000e+00)) ((-5.15707712e-20 1.80294966e-19 -2.73754652e-08) (-1.28551795e-18 -1.24990864e-20 6.03380874e-03) (0.00000000e+00 0.00000000e+00 0.00000000e+00))
127.405        	((1.14682647e+00 2.10006267e-01 -3.22292705e-19) (2.26861864e-01 5.11792784e-02 -3.40388847e-19) (0.00000000e+00 0.00000000e+00 0.00000000e+00)) ((-4.75939079e-20 1.79918315e-19 -2.72454105e-08) (-1.28691614e-18 -3.53742826e-21 6.33766616e-03) (0.00000000e+00 0.00000000e+00 0.00000000e+00))
127.461        	((1.14303395e+00 1.84061799e-01 -3.21912636e-19) (2.26546129e-01 4.94142604e-02 -3.27786782e-19) (0.00000000e+00 0.00000000e+00 0.00000000e+00)) ((-4.35029824e-20 1.79429441e-19 -2.70837434e-08) (-1.29169242e-18 1.27650865e-21 6.64520586e-03) (0.00000000e+00 0.00000000e+00 0.00000000e+00))
127.518        	((1.13950477e+00 1.58694642e-01 -3.21762664e-19) (2.26227912e-01 4.75758235e-02 -3.63951763e-19) (0.00000000e+00 0.00000000e+00 0.00000000e+00)) ((-3.94903019e-20 1.78997725e-19 -2.67792105e-08) (-1.27069611e-18 4.44192899e-20 6.94840329e-03) (0.00000000e+00 0.00000000e+00 0.00000000e+00))
127.574        	((1.13605810e+00 1.32247770e-01 -3.21275317e-19) (2.25921756e-01 4.56618103e-02 -4.09004354e-19) (0.00000000e+00 0.00000000e+00 0.00000000e+00)) ((-3.53088322e-20 1.78565775e-19 -2.64675838e-08) (-1.24652124e-18 9.33692157e-20 7.24267070e-03) (0.00000000e+00 0.00000000e+00 0.00000000e+00))
127.631        	((1.13260510e+00 1.05626792e-01 -3.20667747e-19) (2.25619832e-01 4.36955916e-02 -4.32842446e-19) (0.00000000e+00 0.00000000e+00 0.00000000e+00)) ((-3.11218879e-20 1.78101250e-19 -2.60488303e-08) (-1.23343450e-18 1.24627999e-19 7.54152548e-03) (0.00000000e+00 0.00000000e+00 0.00000000e+00))
127.688        	((1.12945770e+00 7.99800177e-02 -3.20281961e-19) (2.25289933e-01 4.16796036e-02 -3.90722459e-19) (0.00000000e+00 0.00000000e+00 0.00000000e+00)) ((-2.70247476e-20 1.77792467e-19 -2.55368783e-08) (-1.26077364e-18 1.04222956e-19 7.81991061e-03) (0.00000000e+00 0.00000000e+00 0.00000000e+00))
127.745        	((1.12655399e+00 5.22801665e-02 -3.19853181e-19) (2.24984924e-01 3.95840057e-02 -3.39789662e-19) (0.00000000e+00 0.00000000e+00 0.00000000e+00)) ((-2.26555542e-20 1.77429936e-19 -2.49525056e-08) (-1.29361889e-18 7.74873970e-20 8.09958390e-03) (0.00000000e+00 0.00000000e+00 0.00000000e+00))
127.802        	((1.12415515e+00 2.35738018e-02 -3.19660700e-19) (2.24693091e-01 3.74075747e-02 -2.75729743e-19) (0.00000000e+00 0.00000000e+00 0.00000000e+00)) ((-1.80995856e-20 1.77170311e-19 -2.41518999e-08) (-1.33513189e-18 4.10260187e-20 8.37272230e-03) (0.00000000e+00 0.00000000e+00 0.00000000e+00))
127.859        	((1.12205559e+00 -3.69003884e-03 -3.19417540e-19) (2.24418514e-01 3.51729582e-02 -2.13543875e-19) (0.00000000e+00 0.00000000e+00 0.00000000e+00)) ((-1.37657879e-20 1.76963459e-19 -2.32922061e-08) (-1.37522200e-18 6.45752947e-21 8.66929932e-03) (0.00000000e+00 0.00000000e+00 0.00000000e+00))
127.916        	((1.12010710e+00 -3.17160187e-02 -3.19363741e-19) (2.24157592e-01 3.28758257e-02 -1.66687882e-19) (0.00000000e+00 0.00000000e+00 0.00000000e+00)) ((-9.34342209e-21 1.76706422e-19 -2.22895910e-08) (-1.40504655e-18 -1.57815739e-20 8.96189839e-03) (0.00000000e+00 0.00000000e+00 0.00000000e+00))
127.974        	((1.11850157e+00 -5.89171396e-02 -3.19163842e-19) (2.23877890e-01 3.05215241e-02 -1.45518452e-19) (0.00000000e+00 0.00000000e+00 0.00000000e+00)) ((-5.03396882e-21 1.76525894e-19 -2.12155834e-08) (-1.41780372e-18 -1.72028780e-20 9.21966068e-03) (0.00000000e+00 0.00000000e+00 0.00000000e+00))
128.031        	((1.11651144e+00 -8.74798328e-02 -3.19306552e-19) (2.23627395e-01 2.81197609e-02 -1.21360792e-19) (0.00000000e+00 0.00000000e+00 0.00000000e+00)) ((-5.02041858e-22 1.76295465e-19 -2.00651890e-08) (-1.42975187e-18 -2.02972215e-20 9.47926420e-03) (0.00000000e+00 0.00000000e+00 0.00000000e+00))
128.089        	((1.11521135e+00 -1.16504343e-01 -3.19154197e-19) (2.23396943e-01 2.56793568e-02 -1.06446842e-19) (0.00000000e+00 0.00000000e+00 0.00000000e+00)) ((4.11710359e-21 1.76174371e-19 -1.87807754e-08) (-1.44384144e-18 -1.21826610e-20 9.72759072e-03) (0.00000000e+00 0.00000000e+00 0.00000000e+00))
128.146        	((1.11440608e+00 -1.44053043e-01 -3.18650754e-19) (2.23185765e-01 2.32182992e-02 -9.24078596e-20) (0.00000000e+00 0.00000000e+00 0.00000000e+00)) ((8.47407539e-21 1.76037442e-19 -1.72913078e-08) (-1.45997853e-18 -2.08267523e-21 9.98291152e-03) (0.00000000e+00 0.00000000e+00 0.00000000e+00))
128.204        	((1.11466473e+00 -1.71079589e-01 -3.18537278e-19) (2.22972361e-01 2.07095672e-02 -7.03969773e-20) (0.00000000e+00 0.00000000e+00 0.00000000e+00)) ((1.27749749e-20 1.76105402e-19 -1.57262448e-08) (-1.47715432e-18 8.32018114e-22 1.02074970e-02) (0.00000000e+00 0.00000000e+00 0.00000000e+00))
128.262        	((1.11396306e+00 -2.00782743e-01 -3.18443223e-19) (2.22782838e-01 1.81470967e-02 -5.14625617e-20) (0.00000000e+00 0.00000000e+00 0.00000000e+00)) ((1.75017022e-20 1.76011073e-19 -1.40312587e-08) (-1.49225926e-18 5.09205883e-21 1.04132604e-02) (0.00000000e+00 0.00000000e+00 0.00000000e+00))
128.32         	((1.11397519e+00 -2.27379006e-01 -3.18289521e-19) (2.22612373e-01 1.55441271e-02 -6.58727801e-20) (0.00000000e+00 0.00000000e+00 0.00000000e+00)) ((2.17564266e-20 1.76056647e-19 -1.23562396e-08) (-1.49372407e-18 3.60576044e-20 1.06030733e-02) (0.00000000e+00 0.00000000e+00 0.00000000e+00))
128.378        	((1.11521078e+00 -2.55618826e-01 -3.18804354e-19) (2.22472796e-01 1.29136472e-02 -8.19252200e-20) (0.00000000e+00 0.00000000e+00 0.00000000e+00)) ((2.62424207e-20 1.76214193e-19 -1.04246585e-08) (-1.48886584e-18 6.95259676e-20 1.07815787e-02) (0.00000000e+00 0.00000000e+00 0.00000000e+00))
128.437        	((1.11655821e+00 -2.82389541e-01 -3.18823862e-19) (2.22361350e-01 1.02529946e-02 -7.56444653e-20) (0.00000000e+00 0.00000000e+00 0.00000000e+00)) ((3.05057152e-20 1.76403457e-19 -8.50260878e-09) (-1.48292441e-18 8.15207356e-20 1.09492876e-02) (0.00000000e+00 0.00000000e+00 0.00000000e+00))
128.495        	((1.11724365e+00 -3.10763086e-01 -3.18780312e-19) (2.22268039e-01 7.57555501e-03 -4.58710033e-20) (0.00000000e+00 0.00000000e+00 0.00000000e+00)) ((3.50237069e-20 1.76463453e-19 -6.46426910e-09) (-1.47584365e-18 7.14542673e-20 1.11113831e-02) (0.00000000e+00 0.00000000e+00 0.00000000e+00))
128.554        	((1.11836794e+00 -3.37988950e-01 -3.19040704e-19) (2.22188294e-01 4.86287128e-03 -2.49709178e-20) (0.00000000e+00 0.00000000e+00 0.00000000e+00)) ((3.93559848e-20 1.76634705e-19 -4.36892498e-09) (-1.47166043e-18 6.90680464e-20 1.12579994e-02) (0.00000000e+00 0.00000000e+00 0.00000000e+00))
128.612        	((1.12052330e+00 -3.65200398e-01 -3.19335473e-19) (2.22133570e-01 2.13725261e-03 -1.54225212e-20) (0.00000000e+00 0.00000000e+00 0.00000000e+00)) ((4.36677006e-20 1.76897243e-19 -2.16053159e-09) (-1.46280529e-18 7.41926440e-20 1.13899525e-02) (0.00000000e+00 0.00000000e+00 0.00000000e+00))
128.671        	((1.12253593e+00 -3.91733822e-01 -3.19054001e-19) (2.22101531e-01 -6.07794081e-04 -6.35585547e-21) (0.00000000e+00 0.00000000e+00 0.00000000e+00)) ((4.78710024e-20 1.77130075e-19 7.56945600e-11) (-1.45491185e-18 7.92068485e-20 1.15072170e-02) (0.00000000e+00 0.00000000e+00 0.00000000e+00))
128.73         	((1.12533589e+00 -4.16655620e-01 -3.19029002e-19) (2.22095694e-01 -3.34400170e-03 -6.20229766e-21) (0.00000000e+00 0.00000000e+00 0.00000000e+00)) ((5.18012424e-20 1.77461335e-19 2.25350464e-09) (-1.44918616e-18 9.22556945e-20 1.16101981e-02) (0.00000000e+00 0.00000000e+00 0.00000000e+00))
128.789        	((1.12858408e+00 -4.41847731e-01 -3.19249206e-19) (2.22114628e-01 -6.07187705e-03 -7.56170890e-21) (0.00000000e+00 0.00000000e+00 0.00000000e+00)) ((5.57685754e-20 1.77837305e-19 4.48281931e-09) (-1.44298833e-18 1.06243730e-19 1.16989914e-02) (0.00000000e+00 0.00000000e+00 0.00000000e+00))
128.849        	((1.13151446e+00 -4.65684906e-01 -3.19510333e-19) (2.22160561e-01 -8.80205741e-03 -1.15348428e-20) (0.00000000e+00 0.00000000e+00 0.00000000e+00)) ((5.95207080e-20 1.78147508e-19 6.72216363e-09) (-1.44226796e-18 1.34989570e-19 1.17734770e-02) (0.00000000e+00 0.00000000e+00 0.00000000e+00))
128.908        	((1.13431509e+00 -4.90830823e-01 -3.19648828e-19) (2.22231254e-01 -1.15318217e-02 -1.51835969e-20) (0.00000000e+00 0.00000000e+00 0.00000000e+00)) ((6.34534920e-20 1.78408233e-19 8.94940467e-09) (-1.44286178e-18 1.69225699e-19 1.18316214e-02) (0.00000000e+00 0.00000000e+00 0.00000000e+00))
128.968        	((1.13859804e+00 -5.13962290e-01 -3.19702376e-19) (2.22332866e-01 -1.42658162e-02 -1.52692953e-20) (0.00000000e+00 0.00000000e+00 0.00000000e+00)) ((6.70621173e-20 1.78879487e-19 1.12105004e-08) (-1.44267266e-18 2.00214816e-19 1.18739513e-02) (0.00000000e+00 0.00000000e+00 0.00000000e+00))
129.027        	((1.14271819e+00 -5.37237222e-01 -3.20345976e-19) (2.22465837e-01 -1.69661825e-02 -1.65979562e-20) (0.00000000e+00 0.00000000e+00 0.00000000e+00)) ((7.06834150e-20 1.79314669e-19 1.33957570e-08) (-1.44381812e-18 2.32155868e-19 1.19059450e-02) (0.00000000e+00 0.00000000e+00 0.00000000e+00))
129.086        	((1.14708292e+00 -5.58417249e-01 -3.20896841e-19) (2.22627250e-01 -1.96360822e-02 -1.15339272e-20) (0.00000000e+00 0.00000000e+00 0.00000000e+00)) ((7.39769696e-20 1.79790388e-19 1.54902298e-08) (-1.44864961e-18 2.57911362e-19 1.19171724e-02) (0.00000000e+00 0.00000000e+00 0.00000000e+00))
129.145        	((1.15153576e+00 -5.78223722e-01 -3.21042868e-19) (2.22822580e-01 -2.22762143e-02 1.14831464e-20) (0.00000000e+00 0.00000000e+00 0.00000000e+00)) ((7.70349092e-20 1.80264975e-19 1.75583877e-08) (-1.45448167e-18 2.65224134e-19 1.19118408e-02) (0.00000000e+00 0.00000000e+00 0.00000000e+00))
129.204        	((1.15632316e+00 -5.97678340e-01 -3.21535643e-19) (2.23051239e-01 -2.48786885e-02 4.63963482e-20) (0.00000000e+00 0.00000000e+00 0.00000000e+00)) ((8.00297346e-20 1.80779680e-19 1.95111778e-08) (-1.46396236e-18 2.60317704e-19 1.18972116e-02) (0.00000000e+00 0.00000000e+00 0.00000000e+00))
129.263        	((1.16060100e+00 -6.17857443e-01 -3.21834612e-19) (2.23305233e-01 -2.74439497e-02 8.11653873e-20) (0.00000000e+00 0.00000000e+00 0.00000000e+00)) ((8.31361939e-20 1.81217375e-19 2.14124780e-08) (-1.47138319e-18 2.55893775e-19 1.18693569e-02) (0.00000000e+00 0.00000000e+00 0.00000000e+00))
129.321        	((1.16449840e+00 -6.36073170e-01 -3.21790581e-19) (2.23576588e-01 -2.99794464e-02 1.20210755e-19) (0.00000000e+00 0.00000000e+00 0.00000000e+00)) ((8.59299826e-20 1.81608482e-19 2.31678434e-08) (-1.47741489e-18 2.48746241e-19 1.18238152e-02) (0.00000000e+00 0.00000000e+00 0.00000000e+00))
129.38         	((1.16924654e+00 -6.52803487e-01 -3.22524987e-19) (2.23873441e-01 -3.24633563e-02 1.61736440e-19) (0.00000000e+00 0.00000000e+00 0.00000000e+00)) ((8.84885494e-20 1.82128627e-19 2.48661874e-08) (-1.48599855e-18 2.39887919e-19 1.17602457e-02) (0.00000000e+00 0.00000000e+00 0.00000000e+00))
129.438        	((1.17412459e+00 -6.68978202e-01 -3.23033463e-19) (2.24190893e-01 -3.49036509e-02 1.96821919e-19) (0.00000000e+00 0.00000000e+00 0.00000000e+00)) ((9.09464268e-20 1.82683292e-19 2.64623962e-08) (-1.49825532e-18 2.36563670e-19 1.16837425e-02) (0.00000000e+00 0.00000000e+00 0.00000000e+00))
129.496        	((1.17872402e+00 -6.83810305e-01 -3.23387469e-19) (2.24513241e-01 -3.72828655e-02 2.06100762e-19) (0.00000000e+00 0.00000000e+00 0.00000000e+00)) ((9.31899173e-20 1.83211789e-19 2.79761328e-08) (-1.50277179e-18 2.55513384e-19 1.15951135e-02) (0.00000000e+00 0.00000000e+00 0.00000000e+00))
129.554        	((1.18328983e+00 -6.97791178e-01 -3.23653576e-19) (2.24837903e-01 -3.96064394e-02 2.10706425e-19) (0.00000000e+00 0.00000000e+00 0.00000000e+00)) ((9.53030674e-20 1.83719507e-19 2.93333539e-08) (-1.50454656e-18 2.77323251e-19 1.14889056e-02) (0.00000000e+00 0.00000000e+00 0.00000000e+00))
129.612        	((1.18773083e+00 -7.10818397e-01 -3.24525511e-19) (2.25174042e-01 -4.18620656e-02 2.14993887e-19) (0.00000000e+00 0.00000000e+00 0.00000000e+00)) ((9.72657901e-20 1.84227156e-19 3.06433999e-08) (-1.50712499e-18 2.98344124e-19 1.13593189e-02) (0.00000000e+00 0.00000000e+00 0.00000000e+00))
129.67         	((1.19195829e+00 -7.21560054e-01 -3.24401687e-19) (2.25522467e-01 -4.40575882e-02 2.22740540e-19) (0.00000000e+00 0.00000000e+00 0.00000000e+00)) ((9.88698396e-20 1.84715671e-19 3.17387008e-08) (-1.51004572e-18 3.14524889e-19 1.12095047e-02) (0.00000000e+00 0.00000000e+00 0.00000000e+00))
129.727        	((1.19594666e+00 -7.33310036e-01 -3.24981320e-19) (2.25872110e-01 -4.61845223e-02 2.32610847e-19) (0.00000000e+00 0.00000000e+00 0.00000000e+00)) ((1.00638065e-19 1.85180135e-19 3.26919728e-08) (-1.51272025e-18 3.27851469e-19 1.10412899e-02) (0.00000000e+00 0.00000000e+00 0.00000000e+00))
129.784        	((1.19968886e+00 -7.42217373e-01 -3.24696947e-19) (2.26223039e-01 -4.82362973e-02 2.38390884e-19) (0.00000000e+00 0.00000000e+00 0.00000000e+00)) ((1.01952754e-19 1.85614086e-19 3.34492808e-08) (-1.51261627e-18 3.43256941e-19 1.08634934e-02) (0.00000000e+00 0.00000000e+00 0.00000000e+00))
129.842        	((1.20426480e+00 -7.51672783e-01 -3.25453922e-19) (2.26586339e-01 -5.02325618e-02 2.43270881e-19) (0.00000000e+00 0.00000000e+00 0.00000000e+00)) ((1.03353068e-19 1.86198733e-19 3.41117882e-08) (-1.51298485e-18 3.59078354e-19 1.06709421e-02) (0.00000000e+00 0.00000000e+00 0.00000000e+00))
