# Forces       
# CofR         : (0.00000000e+00 0.00000000e+00 0.00000000e+00)
# Time         forces(pressure viscous porous)	moments(pressure viscous porous)
0.529538       	((6.78917175e-01 1.08898393e-05 -4.35333981e-19) (5.09377960e-01 -7.26946391e-06 2.51294662e-20) (0.00000000e+00 0.00000000e+00 0.00000000e+00)) ((-2.06690072e-21 1.05855219e-19 -1.48187842e-12) (-5.68493461e-18 1.50022239e-20 -1.02348610e-05) (0.00000000e+00 0.00000000e+00 0.00000000e+00))
0.581047       	((6.73715570e-01 1.42576009e-05 -4.33503869e-19) (4.82366674e-01 -7.52083038e-06 2.26475321e-20) (0.00000000e+00 0.00000000e+00 0.00000000e+00)) ((-2.32017708e-21 1.05154570e-19 -2.60154165e-12) (-4.64745021e-18 1.51269014e-20 -8.26496819e-06) (0.00000000e+00 0.00000000e+00 0.00000000e+00))
0.632693       	((6.71571308e-01 1.49301043e-05 -4.31678585e-19) (4.59433635e-01 -9.34706059e-06 2.14894350e-20) (0.00000000e+00 0.00000000e+00 0.00000000e+00)) ((-2.41611125e-21 1.05090827e-19 -3.10791375e-12) (-3.79392416e-18 1.44953982e-20 -1.05956052e-05) (0.00000000e+00 0.00000000e+00 0.00000000e+00))
0.684477       	((6.73015557e-01 1.18879564e-05 -4.30042885e-19) (4.39705452e-01 -6.95487732e-06 2.00883876e-20) (0.00000000e+00 0.00000000e+00 0.00000000e+00)) ((-2.48856168e-21 1.05442868e-19 -6.05133228e-12) (-3.21306084e-18 1.39596794e-20 -8.80388229e-06) (0.00000000e+00 0.00000000e+00 0.00000000e+00))
0.736401       	((6.77232978e-01 1.13762620e-05 -4.28323969e-19) (4.22531919e-01 -7.50843348e-06 1.93043132e-20) (0.00000000e+00 0.00000000e+00 0.00000000e+00)) ((-2.43469109e-21 1.06219230e-19 -4.54964246e-12) (-3.03754986e-18 1.36163870e-20 -8.79457409e-06) (0.00000000e+00 0.00000000e+00 0.00000000e+00))
0.788605       	((6.83320143e-01 1.15371784e-05 -4.26795549e-19) (4.07333153e-01 -9.37184460e-06 1.84125446e-20) (0.00000000e+00 0.00000000e+00 0.00000000e+00)) ((-2.50915202e-21 1.07182723e-19 -3.26134925e-12) (-2.88350654e-18 1.37156599e-20 -1.13350116e-05) (0.00000000e+00 0.00000000e+00 0.00000000e+00))
0.841096       	((6.91114770e-01 6.13308620e-06 -4.25131872e-19) (3.93781243e-01 -6.54625992e-06 1.84050571e-20) (0.00000000e+00 0.00000000e+00 0.00000000e+00)) ((-2.49394603e-21 1.08392590e-19 -3.06732612e-12) (-2.72282613e-18 1.32850445e-20 -8.95737383e-06) (0.00000000e+00 0.00000000e+00 0.00000000e+00))
0.89373        	((7.00365137e-01 3.98229124e-06 -4.23622532e-19) (3.81622248e-01 -3.69000069e-06 1.84472605e-20) (0.00000000e+00 0.00000000e+00 0.00000000e+00)) ((-2.60918756e-21 1.09813825e-19 -7.63918605e-13) (-2.57789941e-18 1.29187994e-20 -5.62589010e-06) (0.00000000e+00 0.00000000e+00 0.00000000e+00))
0.94651        	((7.11026432e-01 9.38787131e-06 -4.22193860e-19) (3.70687435e-01 -1.37041421e-06 1.80217611e-20) (0.00000000e+00 0.00000000e+00 0.00000000e+00)) ((-2.82376601e-21 1.11431770e-19 -6.95715607e-13) (-2.47873265e-18 1.29570873e-20 -2.68125918e-06) (0.00000000e+00 0.00000000e+00 0.00000000e+00))
0.999436       	((7.22243053e-01 7.66049628e-06 -4.20687546e-19) (3.60793872e-01 -2.54697854e-06 1.72998355e-20) (0.00000000e+00 0.00000000e+00 0.00000000e+00)) ((-3.04295794e-21 1.13185204e-19 6.67006963e-13) (-2.24719685e-18 1.33585240e-20 -4.67569732e-06) (0.00000000e+00 0.00000000e+00 0.00000000e+00))
