# Force coefficients
# liftDir      : (0.00000000e+00 1.00000000e+00 0.00000000e+00)
# dragDir      : (1.00000000e+00 0.00000000e+00 0.00000000e+00)
# pitchAxis    : (0.00000000e+00 0.00000000e+00 1.00000000e+00)
# magUInf      : 1.00000000e+00
# lRef         : 1.00000000e+00
# Aref         : 2.00000000e+00
# CofR         : (0.00000000e+00 0.00000000e+00 0.00000000e+00)
# Time         	Cm             	Cd             	Cl             	Cl(f)          	Cl(r)          
60             	-5.31298555e-09	1.70524572e+00	4.43231865e-08	1.68486077e-08	2.74745788e-08
61             	-5.11708660e-09	1.70310968e+00	3.88844511e-08	1.43251390e-08	2.45593122e-08
62             	-4.95557412e-09	1.70097379e+00	3.82580506e-08	1.41734512e-08	2.40845994e-08
63             	-4.77530754e-09	1.69902646e+00	3.85430225e-08	1.44962037e-08	2.40468188e-08
64             	-4.57697540e-09	1.69724600e+00	3.77826208e-08	1.43143350e-08	2.34682858e-08
65             	-4.37536568e-09	1.69549879e+00	3.61420826e-08	1.36956756e-08	2.24464070e-08
66             	-4.19781627e-09	1.69369204e+00	3.26648090e-08	1.21345882e-08	2.05302208e-08
67             	-4.06861705e-09	1.69184010e+00	2.63278079e-08	9.09528692e-09	1.72325210e-08
68             	-3.96322378e-09	1.69001727e+00	1.84077295e-08	5.24064099e-09	1.31670885e-08
69             	-3.85076702e-09	1.68827531e+00	1.36267407e-08	2.96260333e-09	1.06641374e-08
70             	-3.72402705e-09	1.68660637e+00	1.40639050e-08	3.30792547e-09	1.07559796e-08
71             	-3.58868743e-09	1.68496948e+00	2.03114862e-08	6.56705568e-09	1.37444305e-08
72             	-3.47203413e-09	1.68333853e+00	2.47362415e-08	8.89608663e-09	1.58401549e-08
73             	-3.26500230e-09	1.68172037e+00	1.70915120e-08	5.28075370e-09	1.18107583e-08
74             	-3.12842527e-09	1.68013898e+00	9.41424598e-09	1.57869773e-09	7.83554826e-09
75             	-3.01358224e-09	1.67860768e+00	9.40519501e-09	1.68901527e-09	7.71617974e-09
76             	-2.89776420e-09	1.67712053e+00	1.35235838e-08	3.86402768e-09	9.65955609e-09
77             	-2.77673410e-09	1.67566443e+00	1.90473416e-08	6.74693672e-09	1.23004049e-08
78             	-2.65465314e-09	1.67423316e+00	1.08142582e-08	2.75247597e-09	8.06178225e-09
79             	-2.54888349e-09	1.67283001e+00	4.72911570e-09	-1.84325642e-10	4.91344134e-09
80             	-2.46233642e-09	1.67146213e+00	3.67311276e-09	-6.25780041e-10	4.29889280e-09
81             	-2.32870404e-09	1.67013238e+00	6.01367356e-09	6.78132741e-10	5.33554082e-09
82             	-2.12473789e-09	1.66883754e+00	7.43145613e-09	1.59099017e-09	5.84046596e-09
83             	-1.98168955e-09	1.66757295e+00	4.81312577e-09	4.24873334e-10	4.38825244e-09
84             	-1.86212448e-09	1.66633654e+00	2.45104770e-11	-1.84986924e-09	1.87437972e-09
85             	-1.75222926e-09	1.66512923e+00	-3.30148679e-09	-3.40297266e-09	1.01485867e-10
86             	-1.63858140e-09	1.66395253e+00	-3.50163832e-09	-3.38940056e-09	-1.12237764e-10
87             	-1.50885454e-09	1.66280670e+00	-2.30254792e-09	-2.66012850e-09	3.57580582e-10
88             	-1.39536200e-09	1.66169050e+00	-2.52194743e-09	-2.65633572e-09	1.34388289e-10
89             	-1.28009504e-09	1.66060231e+00	-4.57737904e-09	-3.56878456e-09	-1.00859449e-09
90             	-1.16851353e-09	1.65954146e+00	-7.04911944e-09	-4.69307325e-09	-2.35604619e-09
91             	-1.05931002e-09	1.65850735e+00	-8.52239298e-09	-5.32050651e-09	-3.20188647e-09
92             	-9.50435206e-10	1.65749957e+00	-8.90334665e-09	-5.40210853e-09	-3.50123812e-09
93             	-8.41356974e-10	1.65651771e+00	-8.25606625e-09	-4.96939010e-09	-3.28667615e-09
94             	-7.33199507e-10	1.65556128e+00	-9.15899247e-09	-5.31269574e-09	-3.84629673e-09
95             	-6.29926385e-10	1.65462959e+00	-1.10552677e-08	-6.15756023e-09	-4.89770746e-09
96             	-5.31995740e-10	1.65372192e+00	-1.25021774e-08	-6.78308446e-09	-5.71909298e-09
97             	-4.37891381e-10	1.65283772e+00	-1.28865744e-08	-6.88117861e-09	-6.00539584e-09
98             	-3.46396062e-10	1.65197646e+00	-1.26793185e-08	-6.68605529e-09	-5.99326317e-09
99             	-2.57864730e-10	1.65113759e+00	-1.27071572e-08	-6.61144332e-09	-6.09571386e-09
100            	-1.60995219e-10	1.65032064e+00	-1.35683703e-08	-6.94518037e-09	-6.62318994e-09
101            	-5.00218817e-11	1.64952507e+00	-1.23402065e-08	-6.22012512e-09	-6.12008135e-09
102            	3.11762955e-11	1.64875031e+00	-9.84303727e-09	-4.89034234e-09	-4.95269493e-09
103            	6.78526363e-11	1.64799579e+00	-9.37060510e-09	-4.61744991e-09	-4.75315519e-09
104            	8.17672758e-11	1.64726101e+00	-1.17818378e-08	-5.80915161e-09	-5.97268616e-09
105            	9.89452602e-11	1.64654548e+00	-1.43268645e-08	-7.06448701e-09	-7.26237753e-09
106            	1.29039807e-10	1.64584875e+00	-1.41277258e-08	-6.93482308e-09	-7.19290270e-09
107            	1.66168419e-10	1.64517052e+00	-1.16158240e-08	-5.64174356e-09	-5.97408039e-09
108            	2.00352660e-10	1.64451031e+00	-9.49914445e-09	-4.54921956e-09	-4.94992488e-09
109            	2.26655700e-10	1.64386751e+00	-9.50813933e-09	-4.52741397e-09	-4.98072537e-09
110            	2.46241380e-10	1.64324181e+00	-1.07097462e-08	-5.10863170e-09	-5.60111446e-09
111            	2.63039576e-10	1.64263270e+00	-1.10756551e-08	-5.27478796e-09	-5.80086711e-09
112            	2.79678559e-10	1.64203963e+00	-9.85902131e-09	-4.64983210e-09	-5.20918921e-09
113            	2.96067767e-10	1.64146230e+00	-8.00108909e-09	-3.70447678e-09	-4.29661231e-09
114            	3.10339518e-10	1.64090035e+00	-6.78709259e-09	-3.08320678e-09	-3.70388581e-09
115            	2.83337360e-10	1.64035331e+00	-2.05914851e-08	-1.00124052e-08	-1.05790799e-08
116            	2.32306546e-10	1.63982087e+00	-6.39033948e-09	-2.96286319e-09	-3.42747628e-09
117            	2.88599952e-10	1.63930262e+00	1.31652124e-08	6.87120616e-09	6.29400625e-09
118            	4.03548993e-10	1.63879814e+00	1.58598215e-08	8.33345974e-09	7.52636175e-09
119            	4.92324714e-10	1.63830711e+00	8.07229350e-09	4.52847146e-09	3.54382203e-09
120            	5.26127386e-10	1.63782915e+00	-2.71331276e-10	3.90461747e-10	-6.61793024e-10
121            	5.27392558e-10	1.63736391e+00	-2.84919770e-09	-8.97206292e-10	-1.95199141e-09
122            	5.33291028e-10	1.63691107e+00	-5.63684842e-10	2.51448607e-10	-8.15133449e-10
123            	5.58815756e-10	1.63647032e+00	2.27224418e-09	1.69493785e-09	5.77306335e-10
124            	5.92799579e-10	1.63604134e+00	2.75366515e-09	1.96963215e-09	7.84032995e-10
125            	6.17183231e-10	1.63562382e+00	9.54659964e-10	1.09451321e-09	-1.39853249e-10
126            	6.24588517e-10	1.63521746e+00	-1.36205944e-09	-5.64412026e-11	-1.30561824e-09
127            	6.20613154e-10	1.63482195e+00	-2.63258909e-09	-6.95681391e-10	-1.93690770e-09
128            	6.14861039e-10	1.63443701e+00	-2.43830830e-09	-6.04293113e-10	-1.83401519e-09
129            	6.27159018e-10	1.63406240e+00	-9.82634081e-09	-4.28601139e-09	-5.54032942e-09
130            	6.18209098e-10	1.63369782e+00	-1.49519322e-08	-6.85775701e-09	-8.09417521e-09
131            	5.92700790e-10	1.63334302e+00	-1.36269525e-08	-6.22077548e-09	-7.40617706e-09
132            	5.61201253e-10	1.63299773e+00	-8.73477379e-09	-3.80618564e-09	-4.92858815e-09
133            	5.28834082e-10	1.63266171e+00	-4.26895463e-09	-1.60564323e-09	-2.66331140e-09
134            	5.04651249e-10	1.63233473e+00	-3.66424719e-09	-1.32747234e-09	-2.33677484e-09
135            	4.93096768e-10	1.63201656e+00	5.86589282e-09	3.42604318e-09	2.43984964e-09
136            	4.79869369e-10	1.63170683e+00	9.99470444e-10	9.79604591e-10	1.98658529e-11
137            	4.15648477e-10	1.63140541e+00	-5.22588807e-09	-2.19729556e-09	-3.02859251e-09
138            	3.16069587e-10	1.63111217e+00	-6.18726926e-09	-2.77756504e-09	-3.40970422e-09
139            	2.09834436e-10	1.63082689e+00	-2.05957194e-09	-8.19951535e-10	-1.23962041e-09
140            	1.17883691e-10	1.63054932e+00	3.40795352e-09	1.82186045e-09	1.58609307e-09
141            	4.03926156e-11	1.63027917e+00	2.22533442e-09	1.15305982e-09	1.07227459e-09
142            	-3.76081970e-11	1.63001630e+00	3.51238680e-09	1.71858520e-09	1.79380160e-09
143            	-1.18527676e-10	1.62976054e+00	6.55908587e-09	3.16101526e-09	3.39807061e-09
144            	-2.03031199e-10	1.62951170e+00	8.01515310e-09	3.80454535e-09	4.21060775e-09
145            	-2.89080730e-10	1.62926956e+00	7.48247635e-09	3.45215745e-09	4.03031891e-09
146            	-3.73762898e-10	1.62903394e+00	6.33596978e-09	2.79422199e-09	3.54174779e-09
147            	-4.56227285e-10	1.62880467e+00	6.53015592e-09	2.80885068e-09	3.72130525e-09
148            	-5.36224202e-10	1.62858158e+00	7.71100431e-09	3.31927795e-09	4.39172635e-09
149            	-6.14457754e-10	1.62836451e+00	8.62639555e-09	3.69874002e-09	4.92765553e-09
150            	-6.91037156e-10	1.62815329e+00	8.54427782e-09	3.58110175e-09	4.96317607e-09
151            	-7.65236208e-10	1.62794776e+00	7.81903199e-09	3.14427979e-09	4.67475220e-09
152            	-8.35209172e-10	1.62774778e+00	7.38148371e-09	2.85553268e-09	4.52595103e-09
153            	-9.05217367e-10	1.62755319e+00	7.35063097e-09	2.77009812e-09	4.58053285e-09
