# Force coefficients
# liftDir      : (0.00000000e+00 1.00000000e+00 0.00000000e+00)
# dragDir      : (1.00000000e+00 0.00000000e+00 0.00000000e+00)
# pitchAxis    : (0.00000000e+00 0.00000000e+00 1.00000000e+00)
# magUInf      : 1.00000000e+00
# lRef         : 1.00000000e+00
# Aref         : 2.00000000e+00
# CofR         : (0.00000000e+00 0.00000000e+00 0.00000000e+00)
# Time         	Cm             	Cd             	Cl             	Cl(f)          	Cl(r)          
1.01651        	-7.94919117e-09	4.04593261e-02	5.59551687e-06	2.78980924e-06	2.80570763e-06
1.05239        	-8.27778194e-09	4.23357460e-02	6.34974972e-06	3.16659708e-06	3.18315264e-06
1.08821        	-9.01750656e-09	4.42674170e-02	6.01945194e-06	3.00070846e-06	3.01874348e-06
1.12403        	-1.09254698e-08	4.61704958e-02	7.33831000e-06	3.65822953e-06	3.68008047e-06
1.15984        	-1.46624711e-08	4.82053767e-02	5.79918994e-06	2.88493250e-06	2.91425744e-06
1.19566        	-2.05503658e-08	5.01637585e-02	5.17448166e-06	2.56669046e-06	2.60779120e-06
1.23148        	-2.90530772e-08	5.22402395e-02	5.05614924e-06	2.49902154e-06	2.55712770e-06
1.2673         	-3.87690621e-08	5.44160060e-02	5.38136601e-06	2.65191394e-06	2.72945207e-06
1.30312        	-4.78071267e-08	5.67447201e-02	5.41170618e-06	2.65804597e-06	2.75366022e-06
1.33893        	-5.53425878e-08	5.91991931e-02	5.37254079e-06	2.63092781e-06	2.74161298e-06
1.37475        	-6.08449768e-08	6.15392082e-02	5.61149324e-06	2.74490164e-06	2.86659160e-06
1.41057        	-6.55216047e-08	6.40951233e-02	6.06939520e-06	2.96917599e-06	3.10021920e-06
1.44639        	-6.77479829e-08	6.67728858e-02	6.07741632e-06	2.97096017e-06	3.10645614e-06
1.4822         	-6.64957720e-08	6.95873783e-02	6.31474404e-06	3.09087625e-06	3.22386779e-06
1.51802        	-6.09791682e-08	7.25359341e-02	6.61750241e-06	3.24777204e-06	3.36973037e-06
1.55384        	-5.45124439e-08	7.55715850e-02	6.74557386e-06	3.31827448e-06	3.42729937e-06
1.58966        	-4.70127750e-08	7.85963464e-02	6.95445714e-06	3.43021580e-06	3.52424135e-06
1.62548        	-3.79639227e-08	8.20684446e-02	7.01542086e-06	3.46974651e-06	3.54567435e-06
1.66129        	-2.95713460e-08	8.60904881e-02	7.30225726e-06	3.62155729e-06	3.68069998e-06
1.69711        	-1.94318621e-08	9.02171497e-02	7.44064765e-06	3.70089196e-06	3.73975569e-06
1.73293        	-6.84684863e-09	9.38700247e-02	7.15580690e-06	3.57105660e-06	3.58475030e-06
1.76875        	3.51844144e-09	9.76065886e-02	8.46830688e-06	4.23767188e-06	4.23063500e-06
1.80456        	1.49355727e-08	1.03516547e-01	7.52484958e-06	3.77736036e-06	3.74748922e-06
1.84045        	3.00714743e-08	1.07716763e-01	7.59669101e-06	3.82841698e-06	3.76827403e-06
1.87634        	4.61748305e-08	1.13437977e-01	7.48152269e-06	3.78693617e-06	3.69458651e-06
1.91223        	4.46328413e-08	1.18978654e-01	9.25232306e-06	4.67079437e-06	4.58152869e-06
1.94812        	2.57767571e-08	1.21380803e-01	8.34666990e-06	4.19911171e-06	4.14755819e-06
1.98401        	4.23019278e-08	1.25665238e-01	8.09130587e-06	4.08795486e-06	4.00335101e-06
2.0199         	3.84579467e-08	1.31380636e-01	8.59581525e-06	4.33636557e-06	4.25944968e-06
2.05586        	-5.49764018e-10	1.37490994e-01	8.28145620e-06	4.14017834e-06	4.14127786e-06
2.09182        	6.04064352e-08	1.43114632e-01	8.82445771e-06	4.47263529e-06	4.35182242e-06
2.12778        	2.07445703e-08	1.48724125e-01	9.25378456e-06	4.64763685e-06	4.60614771e-06
2.16374        	-7.66418797e-09	1.53684150e-01	8.08996219e-06	4.03731691e-06	4.05264528e-06
2.1997         	-8.92549883e-08	1.59852741e-01	8.18756168e-06	4.00452585e-06	4.18303583e-06
2.23573        	3.19312783e-08	1.67507460e-01	9.29125086e-06	4.67755671e-06	4.61369415e-06
2.27176        	9.60744598e-08	1.74969382e-01	8.52846875e-06	4.36030883e-06	4.16815991e-06
