# Force coefficients
# liftDir      : (0.00000000e+00 1.00000000e+00 0.00000000e+00)
# dragDir      : (1.00000000e+00 0.00000000e+00 0.00000000e+00)
# pitchAxis    : (0.00000000e+00 0.00000000e+00 1.00000000e+00)
# magUInf      : 1.00000000e+00
# lRef         : 1.00000000e+00
# Aref         : 2.00000000e+00
# CofR         : (0.00000000e+00 0.00000000e+00 0.00000000e+00)
# Time         	Cm             	Cd             	Cl             	Cl(f)          	Cl(r)          
2.62099        	-1.28273510e-06	1.35681969e+00	1.04502556e-05	3.94239270e-06	6.50786290e-06
2.67599        	-1.31961654e-06	1.36337511e+00	1.15751745e-05	4.46797069e-06	7.10720377e-06
2.73098        	-1.25900933e-06	1.36856060e+00	1.05364332e-05	4.00920727e-06	6.52722592e-06
2.78615        	-1.31473652e-06	1.37280695e+00	9.84426458e-06	3.60739577e-06	6.23686881e-06
2.84133        	-1.25980610e-06	1.37652584e+00	7.83449697e-06	2.65744239e-06	5.17705458e-06
2.89668        	-1.18315918e-06	1.38024610e+00	4.54039784e-06	1.08703974e-06	3.45335810e-06
2.95203        	-1.11500270e-06	1.38292198e+00	4.54210065e-06	1.15604762e-06	3.38605303e-06
3.00756        	-1.03649564e-06	1.38565107e+00	4.16702057e-06	1.04701465e-06	3.12000592e-06
3.06309        	-9.42994809e-07	1.38700269e+00	-3.21474618e-06	-2.55036790e-06	-6.64378282e-07
3.1188         	-8.41267443e-07	1.38853914e+00	2.52596676e-06	4.21715936e-07	2.10425082e-06
3.17452        	-7.26058136e-07	1.38875571e+00	2.17646958e-06	3.62176655e-07	1.81429293e-06
3.23023        	-5.31254864e-07	1.38970470e+00	4.37669202e-06	1.65709115e-06	2.71960087e-06
3.28613        	-2.83220242e-07	1.38998792e+00	4.11361599e-06	1.77358775e-06	2.34002824e-06
3.34203        	-8.43340769e-08	1.38901674e+00	4.98004431e-06	2.40568808e-06	2.57435623e-06
3.39793        	3.05211636e-08	1.38795480e+00	7.08125440e-06	3.57114836e-06	3.51010604e-06
3.45402        	7.90697620e-08	1.38566762e+00	7.90158736e-06	4.02986344e-06	3.87172392e-06
3.5101         	7.86575778e-08	1.38363155e+00	1.07554594e-05	5.45638729e-06	5.29907214e-06
3.56638        	1.19533700e-08	1.38170049e+00	1.23890711e-05	6.20648893e-06	6.18258219e-06
3.62266        	-1.13380633e-07	1.37915084e+00	1.22395042e-05	6.00637145e-06	6.23313272e-06
3.67894        	-3.45234073e-07	1.37644246e+00	1.70119651e-05	8.16074847e-06	8.85121661e-06
3.73542        	-6.39685698e-07	1.37353660e+00	1.83236095e-05	8.52211903e-06	9.80149042e-06
3.79189        	-9.56125295e-07	1.37020356e+00	2.37977718e-05	1.09427606e-05	1.28550112e-05
3.84837        	-1.19626884e-06	1.36681985e+00	2.38709070e-05	1.07391846e-05	1.31317223e-05
3.90504        	-1.27678270e-06	1.36310278e+00	2.14164796e-05	9.43145712e-06	1.19850225e-05
3.96171        	-1.07765514e-06	1.35794346e+00	1.68259290e-05	7.33530935e-06	9.49061964e-06
4.01858        	-6.27134273e-07	1.35448105e+00	1.08767433e-05	4.81123739e-06	6.06550593e-06
4.07546        	-5.69588533e-08	1.35079218e+00	8.85497322e-06	4.37052776e-06	4.48444546e-06
4.13233        	4.26130077e-07	1.34717059e+00	1.02423901e-05	5.54732515e-06	4.69506500e-06
4.18941        	7.56688553e-07	1.34369633e+00	8.68470385e-06	5.09904048e-06	3.58566337e-06
4.24649        	9.16261702e-07	1.33905903e+00	1.00977783e-05	5.96515085e-06	4.13262744e-06
4.30377        	9.72414169e-07	1.33442805e+00	1.07814991e-05	6.36316374e-06	4.41833540e-06
4.36106        	9.64376716e-07	1.33003532e+00	1.15442964e-05	6.73652491e-06	4.80777147e-06
4.41834        	9.15694215e-07	1.32598926e+00	1.20526203e-05	6.94200435e-06	5.11061592e-06
4.47584        	8.49773323e-07	1.32213674e+00	1.35924661e-05	7.64600639e-06	5.94645975e-06
4.53334        	7.80478981e-07	1.31764646e+00	1.38085697e-05	7.68476381e-06	6.12380585e-06
4.59083        	7.11261725e-07	1.31299446e+00	1.38054621e-05	7.61399276e-06	6.19146931e-06
4.64855        	6.44337691e-07	1.30866842e+00	1.39848323e-05	7.63675386e-06	6.34807848e-06
4.70626        	5.80082690e-07	1.30463089e+00	1.38353086e-05	7.49773697e-06	6.33757159e-06
4.76397        	5.16916402e-07	1.30076471e+00	1.66913324e-05	8.86258260e-06	7.82874980e-06
4.8219         	4.63429439e-07	1.29707151e+00	1.82215418e-05	9.57420035e-06	8.64734147e-06
4.87983        	4.14072652e-07	1.29263758e+00	1.60172813e-05	8.42271330e-06	7.59456799e-06
4.93777        	3.69371669e-07	1.28894976e+00	1.49100835e-05	7.82441344e-06	7.08567010e-06
4.99592        	3.17318125e-07	1.28516990e+00	1.39594606e-05	7.29704843e-06	6.66241218e-06
5.05408        	2.68422475e-07	1.28157631e+00	1.69705521e-05	8.75369854e-06	8.21685359e-06
5.11223        	2.25024964e-07	1.27817877e+00	1.79341713e-05	9.19211061e-06	8.74206068e-06
5.17039        	1.84907644e-07	1.27469035e+00	1.75273787e-05	8.94859700e-06	8.57878171e-06
5.22877        	1.46031632e-07	1.27097043e+00	1.72183455e-05	8.75520439e-06	8.46314113e-06
5.28716        	1.07679318e-07	1.26737500e+00	1.89781550e-05	9.59675682e-06	9.38139819e-06
5.34554        	7.21938749e-08	1.26444287e+00	1.83249169e-05	9.23465233e-06	9.09026458e-06
5.40392        	3.77996198e-08	1.26133751e+00	1.84418733e-05	9.25873626e-06	9.18313702e-06
5.46254        	4.27741171e-09	1.25839237e+00	2.02123263e-05	1.01104406e-05	1.01018857e-05
5.52116        	-2.91592462e-08	1.25560725e+00	1.78173558e-05	8.87951864e-06	8.93783713e-06
5.57978        	-6.37669144e-08	1.25284773e+00	1.73020920e-05	8.58727908e-06	8.71481291e-06
5.6384         	-9.74720411e-08	1.25006772e+00	1.67736670e-05	8.28936148e-06	8.48430556e-06
5.69702        	-1.19563372e-07	1.24716350e+00	1.73201789e-05	8.54052606e-06	8.77965280e-06
5.75588        	-1.48428023e-07	1.24415514e+00	1.79652228e-05	8.83418336e-06	9.13103940e-06
5.81474        	-1.82516081e-07	1.24220416e+00	2.02615553e-05	9.94826155e-06	1.03132937e-05
5.8736         	-2.04506752e-07	1.23955182e+00	2.08224484e-05	1.02067175e-05	1.06157310e-05
